Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Robert M Bowers,Andrew MacGregor,Maryam Monsef,Alexander Murphy,Ken Ranney,Candace Shaw,Michael Skinner,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 184","Peterborough",0,12,61,4,1,50,46,2,176,393
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 185","Peterborough",0,14,89,4,1,28,47,2,185,349
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 186","Peterborough",1,12,78,2,1,36,76,1,207,388
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 187","Peterborough",0,8,58,2,0,30,61,0,159,366
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 188","Peterborough",1,7,107,0,0,37,67,0,219,415
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 189","Peterborough",0,6,115,2,1,34,76,2,236,417
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 190","Peterborough",0,13,59,1,0,25,64,0,162,376
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 191","Peterborough",0,10,74,1,0,27,60,1,173,376
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 192","Peterborough",0,5,53,0,0,15,72,2,147,398
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 193","Peterborough",0,10,78,1,0,26,69,0,184,374
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 194","Peterborough",0,14,73,1,0,69,53,0,210,442
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 195","Peterborough",1,14,70,3,1,38,58,2,187,361
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 196","Peterborough",3,13,65,5,2,40,23,0,151,312
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 197","Peterborough",0,15,113,5,0,39,92,2,266,448
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 198","Peterborough",1,8,41,3,0,55,59,3,170,358
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 199","Peterborough",0,5,85,0,0,27,62,0,179,380
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 200","Peterborough",0,11,83,1,2,28,76,1,202,451
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 201","Peterborough",0,16,105,2,2,26,81,0,232,407
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 202A","Peterborough",0,10,69,2,0,19,67,0,167,325
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 202B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°508A,,,,,,,,,89
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 203","Peterborough",1,18,76,5,0,46,47,0,193,435
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 204","Peterborough",1,12,55,3,0,62,64,1,198,449
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 205","Peterborough",0,23,88,3,0,60,54,1,229,454
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 206","Peterborough",1,4,84,3,1,44,54,0,191,431
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 207","Peterborough",1,9,58,5,0,48,71,1,193,411
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 208","Peterborough",0,17,86,9,3,53,57,0,225,389
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 209","Peterborough",0,19,92,1,2,38,72,0,224,386
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 210","Peterborough",0,15,69,3,0,37,72,0,196,384
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 211","Peterborough",0,12,73,2,0,17,51,1,156,344
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 212","Peterborough",0,10,56,1,0,38,37,1,143,322
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 213","Peterborough",1,12,53,0,0,36,46,0,148,344
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 214","Peterborough",0,17,82,4,0,54,102,4,263,468
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 215","Peterborough",2,13,81,3,0,53,100,0,252,436
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 216","Peterborough",2,17,78,9,4,44,70,0,224,446
