Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Patrick Clune,Ellen Comeau,Éric Ferland,Pierre-Luc Filion,Réjean Hébert,Pierre Nantel,Denis Trudel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 147","Longueuil",5,3,19,0,36,38,78,1,180,326
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 148","Longueuil",6,1,14,2,52,36,91,5,207,464
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 149","Longueuil",4,2,42,0,59,79,87,1,274,487
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 150","Longueuil",6,0,22,0,42,62,80,4,216,506
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 151","Longueuil",20,4,18,0,47,41,73,4,207,515
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 152","Longueuil",20,4,19,0,73,27,108,11,262,547
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 153","Longueuil",19,5,20,1,59,10,80,0,194,538
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 154","Longueuil",9,5,13,0,61,20,78,5,191,459
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 155","Longueuil",16,1,21,1,87,16,90,2,234,521
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 156","Longueuil",17,1,15,0,54,14,58,3,162,386
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 157","Longueuil",14,2,16,1,58,13,54,1,159,386
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 158","Longueuil",10,1,8,0,75,19,72,0,185,434
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 159","Longueuil",8,2,16,3,63,17,61,8,178,391
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 160","Longueuil",13,3,29,1,83,21,97,3,250,510
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 161","Longueuil",3,1,19,2,64,20,61,4,174,408
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 162A","Longueuil",12,0,11,0,34,10,47,5,119,302
