Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,René Arseneault,Louis Bérubé,Chad Betteridge,Nelson Fox,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 98","Saint-Léonard",59,19,5,51,0,134,366
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 99","Saint-Léonard",48,29,4,77,2,160,379
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 100","Edmundston",90,27,13,50,5,185,410
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 101","Edmundston",64,18,10,50,0,142,403
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 102","Saint-Jacques",67,19,7,46,5,144,340
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 103","St. Basile 10",127,7,9,67,5,215,415
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 104","Edmundston",65,9,3,24,8,109,522
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 105","Edmundston",58,17,11,63,6,155,498
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 106","Edmundston",66,28,8,64,5,171,491
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 107","Edmundston",67,15,7,56,3,148,458
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 108","Edmundston",43,11,7,21,4,86,381
