Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ian Cameron,Michael Kalmanovitch,Sam Lilly,Dougal MacDonald,Heather McPherson,Eleanor Olszewski,Naomi Rankin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48019,"Edmonton Strathcona/Edmonton Strathcona"," 112","Edmonton",3,0,99,0,68,14,0,4,188,370
48019,"Edmonton Strathcona/Edmonton Strathcona"," 113","Edmonton",8,1,111,0,79,23,0,0,222,469
48019,"Edmonton Strathcona/Edmonton Strathcona"," 114","Edmonton",5,0,122,0,70,13,1,2,213,414
48019,"Edmonton Strathcona/Edmonton Strathcona"," 115","Edmonton",1,2,95,0,61,22,0,0,181,384
48019,"Edmonton Strathcona/Edmonton Strathcona"," 116","Edmonton",7,9,81,1,167,24,1,0,290,557
48019,"Edmonton Strathcona/Edmonton Strathcona"," 117","Edmonton",0,2,92,0,145,26,1,1,267,481
48019,"Edmonton Strathcona/Edmonton Strathcona"," 118","Edmonton",4,5,80,0,125,27,0,1,242,429
48019,"Edmonton Strathcona/Edmonton Strathcona"," 119","Edmonton",5,3,81,0,121,28,1,0,239,416
48019,"Edmonton Strathcona/Edmonton Strathcona"," 120","Edmonton",4,2,72,1,134,20,1,1,235,425
48019,"Edmonton Strathcona/Edmonton Strathcona"," 121","Edmonton",5,7,106,0,143,19,0,0,280,466
48019,"Edmonton Strathcona/Edmonton Strathcona"," 122","Edmonton",0,3,74,0,107,26,1,2,213,409
48019,"Edmonton Strathcona/Edmonton Strathcona"," 123","Edmonton",8,6,85,0,117,25,1,1,243,397
48019,"Edmonton Strathcona/Edmonton Strathcona"," 124","Edmonton",3,6,89,1,100,26,0,1,226,380
48019,"Edmonton Strathcona/Edmonton Strathcona"," 125","Edmonton",2,2,84,0,121,12,1,1,223,417
48019,"Edmonton Strathcona/Edmonton Strathcona"," 126","Edmonton",2,5,69,1,82,31,0,0,190,384
48019,"Edmonton Strathcona/Edmonton Strathcona"," 127","Edmonton",2,3,58,0,127,21,1,2,214,470
48019,"Edmonton Strathcona/Edmonton Strathcona"," 128","Edmonton",7,3,98,1,118,26,0,1,254,463
48019,"Edmonton Strathcona/Edmonton Strathcona"," 129","Edmonton",5,2,68,1,102,19,3,1,201,412
48019,"Edmonton Strathcona/Edmonton Strathcona"," 130","Edmonton",3,6,67,0,96,16,1,0,189,410
48019,"Edmonton Strathcona/Edmonton Strathcona"," 131","Edmonton",4,2,106,0,105,33,0,0,250,446
48019,"Edmonton Strathcona/Edmonton Strathcona"," 132","Edmonton",4,2,109,1,117,40,1,0,274,465
48019,"Edmonton Strathcona/Edmonton Strathcona"," 133","Edmonton",7,2,105,0,133,27,0,0,274,484
48019,"Edmonton Strathcona/Edmonton Strathcona"," 134","Edmonton",2,3,89,0,132,26,0,1,253,433
48019,"Edmonton Strathcona/Edmonton Strathcona"," 135","Edmonton",4,6,103,0,120,21,2,1,257,437
48019,"Edmonton Strathcona/Edmonton Strathcona"," 136","Edmonton",1,1,120,1,81,25,0,0,229,409
48019,"Edmonton Strathcona/Edmonton Strathcona"," 137","Edmonton",3,2,121,0,81,20,0,0,227,453
48019,"Edmonton Strathcona/Edmonton Strathcona"," 138","Edmonton",4,12,101,0,81,15,1,0,214,433
48019,"Edmonton Strathcona/Edmonton Strathcona"," 139","Edmonton",2,3,97,0,80,23,0,0,205,360
48019,"Edmonton Strathcona/Edmonton Strathcona"," 140","Edmonton",7,2,96,0,116,37,0,0,258,503
48019,"Edmonton Strathcona/Edmonton Strathcona"," 141","Edmonton",2,3,89,0,93,23,0,1,211,418
48019,"Edmonton Strathcona/Edmonton Strathcona"," 142","Edmonton",2,8,74,0,131,32,0,2,249,524
48019,"Edmonton Strathcona/Edmonton Strathcona"," 143","Edmonton",2,11,69,1,69,22,1,0,175,398
48019,"Edmonton Strathcona/Edmonton Strathcona"," 144","Edmonton",7,0,96,0,79,24,0,0,206,383
48019,"Edmonton Strathcona/Edmonton Strathcona"," 145","Edmonton",0,3,106,0,147,68,1,2,327,679
48019,"Edmonton Strathcona/Edmonton Strathcona"," 146","Edmonton",9,0,128,0,129,32,0,2,300,525
48019,"Edmonton Strathcona/Edmonton Strathcona"," 147","Edmonton",3,3,124,0,160,35,1,2,328,543
48019,"Edmonton Strathcona/Edmonton Strathcona"," 148","Edmonton",6,3,79,0,108,30,0,0,226,429
48019,"Edmonton Strathcona/Edmonton Strathcona"," 149","Edmonton",7,4,85,1,139,18,0,2,256,408
48019,"Edmonton Strathcona/Edmonton Strathcona"," 150","Edmonton",1,3,93,1,118,18,0,0,234,434
48019,"Edmonton Strathcona/Edmonton Strathcona"," 151","Edmonton",5,6,104,1,117,14,1,0,248,440
48019,"Edmonton Strathcona/Edmonton Strathcona"," 152","Edmonton",7,2,86,1,100,15,1,3,215,413
48019,"Edmonton Strathcona/Edmonton Strathcona"," 153","Edmonton",5,7,77,0,124,29,0,1,243,454
