Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Erin Alyward,Douglas Gordon Burchill,Kenneth Munro,Shelley Termuende,Chris Warkentin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 166","Grande Prairie",24,0,8,2,186,0,220,484
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 167","Grande Prairie",32,6,21,4,260,3,326,564
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 168","Grande Prairie",18,3,13,2,183,0,219,450
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 169","Grande Prairie",20,11,12,5,206,1,255,612
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 170","Grande Prairie",22,4,17,7,178,3,231,399
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 171","Grande Prairie",19,10,14,3,185,1,232,506
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 172","Grande Prairie",26,4,15,4,130,0,179,451
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 173","Grande Prairie",24,5,11,5,199,0,244,506
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 174","Grande Prairie",22,4,13,4,165,1,209,454
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 175","Flyingshot Lake Settlement",9,1,7,3,184,2,206,499
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 176","Grande Prairie",17,8,11,4,220,1,261,509
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 177","Flyingshot Lake Settlement",12,6,9,2,381,1,411,856
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 178","Grande Prairie",11,3,8,2,154,1,179,416
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 179","Grande Prairie",25,7,17,3,252,0,304,680
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 180","Grande Prairie",18,3,5,3,205,2,236,531
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 181","Grande Prairie",20,3,7,4,152,0,186,369
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 182","Grande Prairie",18,1,12,1,197,0,229,474
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 183","Grande Prairie",25,6,19,7,171,0,228,521
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 184","Grande Prairie",15,4,11,5,201,1,237,470
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 185","Kleskun Hill",10,4,2,1,259,2,278,450
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 186","Bezanson",22,16,8,5,328,1,380,559
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 187","Grande Prairie",19,7,5,5,201,2,239,580
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 188","Grande Prairie",29,4,21,6,184,1,245,440
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 189","Grande Prairie",18,3,11,3,191,0,226,446
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 190","Grande Prairie",23,5,20,11,172,0,231,402
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 191","Grande Prairie County No. 1",14,5,6,2,96,1,124,262
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 192","Grande Prairie County No. 1",5,2,7,2,119,0,135,324
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 193","Grande Prairie",16,6,14,4,295,0,335,738
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 194","Grande Prairie",5,3,1,0,70,0,79,183
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 195","Grande Prairie County No. 1",11,2,5,2,235,1,256,439
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 196","Grande Prairie",23,4,14,5,360,1,407,682
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 197","Wapiti",13,13,3,2,297,1,329,459
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 198","Grovedale",13,10,15,9,362,0,409,566
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 199","DeBolt",9,8,2,2,123,4,148,281
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 200","Crooked Creek",6,6,5,1,141,0,159,402
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 201","Sturgeon Heights",4,5,3,2,88,1,103,207
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 202","Sturgeon Lake 154",111,5,40,9,89,0,254,767
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 203","Little Smoky",4,2,1,2,101,2,112,162
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 500","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501B,,,,,,,19
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 501A","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°67B,,,,,,,41
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 501B","Mobile poll/Bureau itinérant",4,1,5,0,25,4,39,9
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 502","Mobile poll/Bureau itinérant",5,0,5,3,58,9,80,116
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 503A","Mobile poll/Bureau itinérant",9,4,7,5,111,4,140,199
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 503B","Clairmont",5,2,9,1,106,2,125,160
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 504A","Mobile poll/Bureau itinérant",8,6,13,3,85,0,115,71
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 504B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°505A,,,,,,,42
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 505A","Mobile poll/Bureau itinérant",11,4,10,3,123,1,152,150
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 505B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°504A,,,,,,,73
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 600","Rainbow Lake",4,2,12,1,108,0,127,
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 601","MacKenzie County--High Level",45,15,54,6,417,0,537,
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 602","Worsley",2,2,0,3,145,1,153,
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 603","Manning",22,14,8,8,358,0,410,
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 604","Hines Creek",10,8,1,1,215,1,236,
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 605","Spirit River",24,23,8,7,503,0,565,
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 606","Beaverlodge",42,31,37,23,1225,0,1358,
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 607","Sexsmith",37,28,22,13,1241,2,1343,
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 608","Grande Prairie--Dimsdale",23,17,14,7,776,0,837,
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 609","Grande Prairie",47,20,34,18,997,3,1119,
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 610","Grande Prairie",78,37,53,21,1143,4,1336,
