Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kristine Bowman,Gordon Francey,Douglas Galavan,Jeremy Hoefsloot,Cory Lystang,Angelena Satdeo,Gerald Soroka,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48034,"Yellowhead/Yellowhead"," 177","Rocky Mountain House",6,0,3,5,0,1,79,0,94,231
48034,"Yellowhead/Yellowhead"," 178","Rocky Mountain House",3,0,15,4,0,5,147,1,175,387
48034,"Yellowhead/Yellowhead"," 179","Rocky Mountain House",4,1,3,5,1,0,96,0,110,282
48034,"Yellowhead/Yellowhead"," 180","Rocky Mountain House",1,0,5,5,0,0,110,0,121,296
48034,"Yellowhead/Yellowhead"," 181","Rocky Mountain House",7,1,5,6,1,0,113,0,133,370
48034,"Yellowhead/Yellowhead"," 182","Rocky Mountain House",17,1,2,10,2,1,154,0,187,440
48034,"Yellowhead/Yellowhead"," 183","Rocky Mountain House",12,0,2,2,0,3,121,0,140,393
48034,"Yellowhead/Yellowhead"," 184","Rocky Mountain House",6,0,5,4,1,2,112,0,130,364
48034,"Yellowhead/Yellowhead"," 185","Rocky Mountain House",2,0,4,3,0,0,147,0,156,399
48034,"Yellowhead/Yellowhead"," 186","Rocky Mountain House",10,0,4,10,1,6,58,0,89,266
48034,"Yellowhead/Yellowhead"," 187","Rocky Mountain House",10,0,5,9,0,0,97,0,121,327
48034,"Yellowhead/Yellowhead"," 188","Rocky Mountain House",7,0,1,3,0,3,109,1,124,283
48034,"Yellowhead/Yellowhead"," 189","Rocky Mountain House",5,0,3,9,1,5,95,2,120,361
48034,"Yellowhead/Yellowhead"," 190","Rocky Mountain House",7,0,5,2,0,0,89,0,103,357
48034,"Yellowhead/Yellowhead"," 191","Rocky Mountain House",10,0,3,6,1,4,81,2,107,281
48034,"Yellowhead/Yellowhead"," 192","Rocky Mountain House",12,1,2,4,1,6,88,0,114,349
48034,"Yellowhead/Yellowhead"," 193","Rocky Mountain House",7,1,2,0,0,0,120,0,130,372
48034,"Yellowhead/Yellowhead"," 194","Rocky Mountain House",10,1,3,5,2,5,128,2,156,436
48034,"Yellowhead/Yellowhead"," 195","Rocky Mountain House",9,0,6,7,2,1,104,1,130,418
48034,"Yellowhead/Yellowhead"," 196","Rocky Mountain House",10,1,7,4,1,6,143,4,176,425
48034,"Yellowhead/Yellowhead"," 197","Rocky Mountain House",2,0,2,3,0,0,92,0,99,282
48034,"Yellowhead/Yellowhead"," 198","Rocky Mountain House",10,0,0,2,0,2,143,0,157,367
48034,"Yellowhead/Yellowhead"," 199","Rocky Mountain House",4,0,1,6,0,2,136,0,149,380
48034,"Yellowhead/Yellowhead"," 200","Rocky Mountain House",2,0,3,2,2,2,105,1,117,328
48034,"Yellowhead/Yellowhead"," 201","County of Clearwater",10,0,8,4,0,5,231,0,258,417
48034,"Yellowhead/Yellowhead"," 202","Leslieville",2,0,7,4,2,1,168,1,185,358
48034,"Yellowhead/Yellowhead"," 203","Leslieville",1,0,6,2,1,2,107,2,121,260
48034,"Yellowhead/Yellowhead"," 204","Leslieville",3,0,4,8,1,1,141,1,159,286
48034,"Yellowhead/Yellowhead"," 205","Hardindell",8,0,2,4,1,5,147,0,167,363
48034,"Yellowhead/Yellowhead"," 206","Hardindell",6,0,5,4,0,1,121,0,137,273
48034,"Yellowhead/Yellowhead"," 207","County of Clearwater",2,0,1,3,0,2,87,0,95,228
48034,"Yellowhead/Yellowhead"," 208","County of Clearwater",3,0,7,3,0,1,87,0,101,272
48034,"Yellowhead/Yellowhead"," 209","Condor",2,0,3,4,1,1,169,0,180,317
48034,"Yellowhead/Yellowhead"," 210","Eckville",3,0,14,4,0,4,234,0,259,403
48034,"Yellowhead/Yellowhead"," 211","Ricinus",8,0,7,5,0,1,117,0,138,341
48034,"Yellowhead/Yellowhead"," 212","Chedderville",5,0,1,2,0,2,118,0,128,271
48034,"Yellowhead/Yellowhead"," 213","Stauffer",5,0,5,3,0,2,128,0,143,302
48034,"Yellowhead/Yellowhead"," 214","Caroline",8,0,9,2,0,4,165,1,189,439
48034,"Yellowhead/Yellowhead"," 215","Stauffer",8,0,8,5,1,5,194,0,221,408
48034,"Yellowhead/Yellowhead"," 216","Crammond",8,1,2,3,1,2,145,0,162,350
48034,"Yellowhead/Yellowhead"," 217","Crammond",9,1,7,7,0,1,129,0,154,322
48034,"Yellowhead/Yellowhead"," 218","Crammond",6,2,2,5,0,4,171,1,191,359
48034,"Yellowhead/Yellowhead"," 500","Mobile poll/Bureau itinérant",0,0,1,8,0,1,18,2,30,46
48034,"Yellowhead/Yellowhead"," 501","Mobile poll/Bureau itinérant",2,0,2,5,1,2,33,2,47,63
48034,"Yellowhead/Yellowhead"," 502","Mobile poll/Bureau itinérant",5,0,1,5,2,1,37,3,54,50
48034,"Yellowhead/Yellowhead"," 503","Mobile poll/Bureau itinérant",7,0,1,13,0,1,17,0,39,56
48034,"Yellowhead/Yellowhead"," 504","Mobile poll/Bureau itinérant",2,0,1,2,0,1,24,1,31,45
48034,"Yellowhead/Yellowhead"," 505","Mobile poll/Bureau itinérant",1,3,4,9,2,3,90,0,112,135
48034,"Yellowhead/Yellowhead"," 506","Mobile poll/Bureau itinérant",6,0,0,3,1,0,20,0,30,36
48034,"Yellowhead/Yellowhead"," 507","Mobile poll/Bureau itinérant",5,0,2,9,3,7,67,0,93,155
48034,"Yellowhead/Yellowhead"," 600","Grande Cache",52,2,31,46,3,16,405,0,555,
48034,"Yellowhead/Yellowhead"," 601","Jasper",197,1,16,145,5,82,163,2,611,
48034,"Yellowhead/Yellowhead"," 602","Hinton",61,2,9,29,1,15,444,6,567,
48034,"Yellowhead/Yellowhead"," 603","Hinton",41,1,14,60,2,25,449,2,594,
48034,"Yellowhead/Yellowhead"," 604","Hinton",33,0,7,34,3,14,382,2,475,
