Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sara Badiei,Jayson Chabot,Nelly Shin,Roland Verrier,Bryce Watts,Bonita Zarrillo,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 148","Coquitlam",61,1,70,0,14,65,0,211,417
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 149","Coquitlam",48,2,41,0,20,65,2,178,340
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 150","Coquitlam",39,4,52,0,22,77,0,194,400
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 151","Coquitlam",48,3,52,0,11,97,7,218,493
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 152","Coquitlam",71,7,72,0,11,110,4,275,469
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 153","Coquitlam",55,1,40,0,10,64,0,170,462
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 154","Coquitlam",63,0,68,0,17,101,2,251,546
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 155","Coquitlam",44,4,62,1,21,87,1,220,506
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 156","Coquitlam",40,3,35,0,15,40,0,133,300
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 157","Coquitlam",54,4,40,0,21,57,1,177,372
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 158","Coquitlam",72,3,72,0,18,73,2,240,432
