Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alain Bélanger,Josée Bélanger,Ruth Ellen Brosseau,Martin Acetaria Caesar Jubinville,Éric Laferrière,Danny Légaré,Luc Massé,Yves Perron,Christine Poirier,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 87","Sainte-Ursule",0,19,76,0,0,0,0,26,9,2,132,245
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 88","Louiseville",0,25,71,1,2,0,1,44,18,1,163,364
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 89","Louiseville",0,17,63,0,3,0,0,32,14,1,130,379
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 90","Louiseville",0,19,67,0,2,2,1,31,18,3,143,413
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 91","Louiseville",0,13,52,0,0,1,0,31,16,0,113,380
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 92","Louiseville",0,15,41,0,1,0,1,25,10,5,98,323
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 93","Louiseville",2,10,77,0,1,0,0,30,16,0,136,294
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 94","Louiseville",0,9,66,0,0,0,0,35,11,1,122,352
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 95","Louiseville",1,15,58,1,2,0,1,37,15,2,132,383
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 96","Saint-Damien",0,6,29,0,2,0,2,84,27,0,150,332
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 97","Saint-Damien",0,15,26,1,4,0,1,97,29,2,175,415
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 98","Saint-Damien",1,12,39,2,9,0,2,87,20,2,174,367
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 99","Saint-Damien",1,15,22,0,2,1,1,100,38,7,187,349
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 100","Saint-Damien",0,10,54,0,6,1,1,94,30,3,199,417
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 101","Louiseville",0,21,74,0,1,0,0,28,20,1,145,405
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 102","Louiseville",0,8,43,0,0,0,0,21,12,1,85,293
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 103","Louiseville",0,13,86,0,2,0,0,45,23,0,169,337
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 104","Louiseville",0,16,96,0,4,0,3,46,20,1,186,350
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 105","Louiseville",1,14,107,0,0,0,0,56,18,4,200,457
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 106","Louiseville",1,16,110,0,0,0,1,50,21,2,201,430
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 107","Louiseville",0,18,74,1,2,1,1,37,27,1,162,370
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 108","Louiseville",0,14,51,0,0,0,1,46,6,1,119,322
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 109","Saint-Justin",0,17,56,0,1,0,2,49,16,0,141,263
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 110","Saint-Justin",0,11,108,0,0,0,2,63,23,3,210,336
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 111","Saint-Justin",0,6,51,0,1,0,0,36,21,2,117,256
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 112","Saint-Gabriel-de-Brandon",0,9,28,0,3,0,1,44,17,2,104,249
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 113","Saint-Gabriel",0,4,31,0,3,0,0,50,11,2,101,286
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 114","Saint-Gabriel-de-Brandon",0,13,31,0,3,0,0,42,17,2,108,260
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 115","Saint-Gabriel",0,16,40,1,2,0,0,68,13,8,148,357
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 116","Saint-Gabriel",0,10,31,0,3,1,0,71,24,3,143,383
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 117","Saint-Gabriel",0,13,24,0,1,2,1,52,7,5,105,262
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 118","Saint-Gabriel",0,7,25,2,1,0,0,58,15,0,108,337
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 119","Saint-Gabriel-de-Brandon",0,10,48,1,3,1,0,57,25,3,148,390
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 120","Saint-Gabriel-de-Brandon",0,21,51,0,1,2,2,70,26,0,173,387
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 121","Saint-Gabriel",1,5,47,0,0,0,0,58,29,0,140,294
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 122","Saint-Gabriel-de-Brandon",0,8,65,0,3,1,0,92,24,3,196,427
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 123","Saint-Gabriel-de-Brandon",0,15,40,1,2,1,1,83,21,5,169,388
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 124","Saint-Gabriel-de-Brandon",0,18,49,0,7,0,1,75,12,4,166,312
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 125","Maskinongé",4,16,89,1,1,0,1,44,20,5,181,399
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 126","Maskinongé",1,19,67,0,2,0,1,46,28,4,168,360
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 127","Saint-Joseph-de-Maskinongé",2,10,58,0,1,0,2,26,25,2,126,308
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 128","Saint-Joseph-de-Maskinongé",0,19,114,0,4,0,1,47,22,6,213,418
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 129","Saint-Joseph-de-Maskinongé",1,9,92,0,1,0,0,62,15,5,185,414
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 130","Saint-Barthélémy",1,6,34,0,4,0,1,49,13,0,108,233
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 131","Saint-Barthélémy",1,13,44,1,0,1,0,47,14,2,123,252
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 132","Saint-Barthélémy",0,14,55,1,3,0,0,60,16,1,150,256
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 133","Saint-Barthélémy",0,27,65,1,1,0,0,49,19,0,162,269
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 134","Saint-Barthélémy",1,14,88,0,4,1,0,58,14,1,181,297
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 135","Saint-Barthélémy",0,7,54,0,1,1,0,51,14,2,130,246
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 136","Saint-Cléophas-de-Brandon",1,24,49,1,7,2,2,80,14,3,183,370
