Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kimball Cariou,Don Davies,Donna Petersen,Helen Quan,Tamara Taggart,Lawrence Taylor,Ian Torn,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59038,"Vancouver Kingsway/Vancouver Kingsway"," 133","Vancouver",1,90,0,57,41,12,1,4,206,407
59038,"Vancouver Kingsway/Vancouver Kingsway"," 134","Vancouver",2,82,0,38,95,6,2,4,229,492
59038,"Vancouver Kingsway/Vancouver Kingsway"," 135","Vancouver",1,83,0,71,34,6,2,0,197,424
59038,"Vancouver Kingsway/Vancouver Kingsway"," 136","Vancouver",2,64,0,39,34,5,0,1,145,364
59038,"Vancouver Kingsway/Vancouver Kingsway"," 137","Vancouver",0,53,0,61,70,9,2,0,195,431
59038,"Vancouver Kingsway/Vancouver Kingsway"," 138","Vancouver",2,69,0,57,65,1,3,2,199,446
59038,"Vancouver Kingsway/Vancouver Kingsway"," 139","Vancouver",1,68,0,51,31,5,4,1,161,444
59038,"Vancouver Kingsway/Vancouver Kingsway"," 140","Vancouver",2,90,0,35,43,5,3,4,182,461
59038,"Vancouver Kingsway/Vancouver Kingsway"," 141","Vancouver",0,84,1,20,27,6,4,0,142,428
59038,"Vancouver Kingsway/Vancouver Kingsway"," 142","Vancouver",4,87,0,46,31,7,3,0,178,462
