Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,William Amos,Mario Belec,Claude Bertrand,Dave Blackburn,Jonathan Carreiro-Benoit,Denise Giroux,Louis Lang,Shawn Stewart,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24057,"Pontiac/Pontiac"," 180","Chelsea",117,3,28,19,13,51,0,0,0,231,264
24057,"Pontiac/Pontiac"," 181","Chelsea",98,0,15,15,7,22,0,0,2,159,321
24057,"Pontiac/Pontiac"," 182","Chelsea",Merged with No./Fusionné avec le n°185,,,,,,,,,,202
24057,"Pontiac/Pontiac"," 183","Chelsea",97,4,20,13,12,29,0,0,0,175,342
24057,"Pontiac/Pontiac"," 184","Chelsea",136,0,21,31,13,26,0,0,1,228,433
24057,"Pontiac/Pontiac"," 185","Chelsea",172,1,37,30,27,37,0,0,1,305,345
24057,"Pontiac/Pontiac"," 186","Chelsea",Merged with No./Fusionné avec le n°180,,,,,,,,,,219
24057,"Pontiac/Pontiac"," 187","Gatineau",132,1,12,16,21,16,0,0,0,198,397
24057,"Pontiac/Pontiac"," 188","Chelsea",180,2,51,26,26,55,0,0,4,344,575
24057,"Pontiac/Pontiac"," 189","Gatineau",142,2,13,22,27,21,0,0,4,231,485
24057,"Pontiac/Pontiac"," 190","Luskville",103,5,25,72,22,23,0,0,1,251,278
24057,"Pontiac/Pontiac"," 191","Luskville",Merged with No./Fusionné avec le n°190,,,,,,,,,,260
24057,"Pontiac/Pontiac"," 192","Pontiac",Merged with No./Fusionné avec le n°193,,,,,,,,,,240
24057,"Pontiac/Pontiac"," 193","Luskville",99,5,12,46,29,35,0,0,0,226,265
24057,"Pontiac/Pontiac"," 194","Luskville",71,3,8,45,21,19,0,1,3,171,362
24057,"Pontiac/Pontiac"," 195","Luskville",86,9,15,40,13,29,0,0,1,193,360
24057,"Pontiac/Pontiac"," 196","Luskville",Merged with No./Fusionné avec le n°198,,,,,,,,,,259
24057,"Pontiac/Pontiac"," 197","Luskville",87,2,9,64,17,22,0,1,1,203,413
24057,"Pontiac/Pontiac"," 198","Luskville",130,3,24,39,38,24,0,0,0,258,304
24057,"Pontiac/Pontiac"," 199","Luskville",108,0,11,38,33,14,0,0,4,208,365
24057,"Pontiac/Pontiac"," 200","Clarendon",44,3,2,76,3,14,1,0,1,144,339
24057,"Pontiac/Pontiac"," 201A","Clarendon",46,5,5,63,1,11,0,1,2,134,373
24057,"Pontiac/Pontiac"," 201B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501,,,,,,,,,,13
