Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Lynn Beaulieu,Guy Bernatchez,Jay Cowboy,Dennis Drainville,Eric Hébert,Diane Lebouthillier,Jean-Pierre Pigeon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 22","Saint-Maxime-du-Mont-Louis",2,59,0,2,1,13,2,2,81,323
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 23","Saint-Maxime-du-Mont-Louis",2,46,2,1,0,12,3,1,67,279
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 24","Gaspé",7,60,3,10,2,46,5,3,136,360
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 25","Gaspé",16,54,6,6,2,42,11,3,140,394
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 26A","Gaspé",14,61,3,8,3,35,7,4,135,429
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 26B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500,,,,,,,,,80
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 27","Gaspé",10,44,2,12,0,43,4,1,116,390
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 28","Gaspé",7,34,4,7,0,70,7,1,130,352
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 29","Gaspé",5,47,6,4,1,47,6,1,117,365
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 30A","Gaspé",Merged with No./Fusionné avec le n°24,,,,,,,,,72
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 30B","Gaspé",Merged with No./Fusionné avec le n°30H,,,,,,,,,70
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 30C","Gaspé",Merged with No./Fusionné avec le n°30H,,,,,,,,,32
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 30D","Gaspé",Merged with No./Fusionné avec le n°30H,,,,,,,,,64
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 30E","Gaspé",Merged with No./Fusionné avec le n°24,,,,,,,,,62
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 30F","Gaspé",Merged with No./Fusionné avec le n°30H,,,,,,,,,88
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 30G","Gaspé",Merged with No./Fusionné avec le n°24,,,,,,,,,5
