Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Maxime Blanchette-Joncas,Nancy Brassard-Fortin,Guy Caron,Pierre Lacombe,Lysane Picker-Paquin,Chantal Pilon,Jocelyn Rioux,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 137","Saint-Éloi",61,34,28,2,1,26,2,1,155,240
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 138","Sainte-Rita",40,14,31,1,0,25,1,1,113,246
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 139","Saint-Michel-du-Squatec",40,26,19,3,0,42,0,1,131,318
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 140","Saint-Michel-du-Squatec",52,24,28,0,0,24,1,0,129,294
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 141","Saint-Michel-du-Squatec",53,17,23,0,0,33,1,2,129,310
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 142","Saint-Clément",104,19,66,0,3,35,6,9,242,391
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 143","Lejeune",40,21,29,1,2,18,1,10,122,233
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 144","Auclair",76,15,62,5,1,33,5,9,206,370
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 145","Saint-Pierre-de-Lamy",20,4,15,0,1,15,0,0,55,91
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 146","Saint-Juste-du-Lac",48,21,23,2,0,14,4,1,113,226
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 147","Cabano",59,24,42,0,0,26,4,1,156,403
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 148","Cabano",66,14,36,0,0,22,3,0,141,387
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 149","Cabano",67,13,35,1,0,35,4,2,157,436
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 150","Cabano",67,26,29,1,1,22,3,3,152,422
