Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jason Cole,Darren Fisher,Michelle Lindsay,Lil MacPherson,Emma Norton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 126","Halifax",24,84,1,17,59,0,185,386
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 127","Halifax",26,96,2,14,69,0,207,417
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 128","Halifax",39,96,2,10,48,1,196,388
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 129","Halifax",61,82,1,12,66,0,222,494
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 130","Halifax",37,120,4,20,60,3,244,423
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 131","Halifax",38,108,14,14,50,0,224,382
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 132A","Halifax",32,49,4,9,17,2,113,248
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 132B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502,,,,,,,18
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 132C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502,,,,,,,107
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 133","Halifax",75,161,3,26,47,7,319,697
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 134","Halifax",49,115,5,20,40,1,230,500
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 135","Halifax",24,76,2,9,31,0,142,312
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 136","Halifax",22,69,2,18,19,1,131,275
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 137","Halifax",50,123,6,28,87,0,294,645
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 138","Halifax",24,72,4,12,63,3,178,341
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 139","Halifax",47,89,6,37,97,1,277,573
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 140","Halifax",47,78,4,23,73,0,225,533
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 141","Halifax",31,74,11,15,96,0,227,467
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 142","Halifax",14,44,6,22,100,2,188,438
