Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kevan Hunter,Colin Korol,Tim Moen,Natalie Odd,Gurcharan Singh Sidhu,Jordan Stein,Len Webber,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48005,"Calgary Confederation/Calgary Confederation"," 93B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502,,,,,,,,,55
48005,"Calgary Confederation/Calgary Confederation"," 94","Calgary",0,3,0,15,33,41,134,0,226,477
48005,"Calgary Confederation/Calgary Confederation"," 95","Calgary",0,1,1,15,39,30,118,1,205,488
48005,"Calgary Confederation/Calgary Confederation"," 96","Calgary",0,5,1,14,18,41,82,1,162,355
48005,"Calgary Confederation/Calgary Confederation"," 97","Calgary",0,1,0,22,17,36,70,0,146,320
48005,"Calgary Confederation/Calgary Confederation"," 98","Calgary",1,8,2,21,31,65,119,1,248,437
48005,"Calgary Confederation/Calgary Confederation"," 99","Calgary",1,0,2,19,22,25,93,0,162,346
48005,"Calgary Confederation/Calgary Confederation"," 100","Calgary",0,6,1,18,47,53,95,2,222,397
48005,"Calgary Confederation/Calgary Confederation"," 101","Calgary",1,1,0,19,30,44,97,1,193,409
48005,"Calgary Confederation/Calgary Confederation"," 102","Calgary",0,4,0,14,19,49,75,1,162,355
48005,"Calgary Confederation/Calgary Confederation"," 103","Calgary",1,1,0,17,14,50,69,1,153,339
48005,"Calgary Confederation/Calgary Confederation"," 104","Calgary",1,5,3,16,9,64,104,1,203,351
48005,"Calgary Confederation/Calgary Confederation"," 105","Calgary",0,2,2,16,17,52,103,0,192,380
48005,"Calgary Confederation/Calgary Confederation"," 106","Calgary",0,4,0,36,23,42,147,0,252,467
48005,"Calgary Confederation/Calgary Confederation"," 107","Calgary",1,2,1,13,13,39,148,2,219,453
48005,"Calgary Confederation/Calgary Confederation"," 108","Calgary",0,2,2,21,15,45,109,2,196,462
48005,"Calgary Confederation/Calgary Confederation"," 109","Calgary",0,3,3,22,28,44,114,1,215,486
48005,"Calgary Confederation/Calgary Confederation"," 110","Calgary",0,2,3,9,21,45,103,0,183,423
48005,"Calgary Confederation/Calgary Confederation"," 111","Calgary",0,7,1,11,26,70,107,1,223,498
48005,"Calgary Confederation/Calgary Confederation"," 112","Calgary",0,1,2,24,37,61,99,2,226,457
48005,"Calgary Confederation/Calgary Confederation"," 113","Calgary",0,2,2,16,25,66,104,0,215,505
48005,"Calgary Confederation/Calgary Confederation"," 114A","Calgary",0,5,1,23,25,40,112,1,207,320
48005,"Calgary Confederation/Calgary Confederation"," 114B","Mobile poll/Bureau itinérant",1,1,1,7,13,16,51,6,96,97
48005,"Calgary Confederation/Calgary Confederation"," 115","Calgary",0,2,2,29,23,59,118,1,234,449
48005,"Calgary Confederation/Calgary Confederation"," 116","Calgary",1,3,0,13,38,51,108,4,218,464
48005,"Calgary Confederation/Calgary Confederation"," 117","Calgary",0,0,1,16,9,59,96,0,181,415
48005,"Calgary Confederation/Calgary Confederation"," 118","Calgary",1,8,2,25,40,46,83,2,207,492
48005,"Calgary Confederation/Calgary Confederation"," 119","Calgary",0,7,3,27,24,53,109,1,224,490
48005,"Calgary Confederation/Calgary Confederation"," 120","Calgary",0,5,0,28,30,54,94,0,211,440
48005,"Calgary Confederation/Calgary Confederation"," 121","Calgary",1,1,0,13,14,47,102,1,179,433
48005,"Calgary Confederation/Calgary Confederation"," 122","Calgary",0,0,0,17,21,33,112,0,183,394
48005,"Calgary Confederation/Calgary Confederation"," 123","Calgary",0,3,1,32,17,63,91,0,207,434
48005,"Calgary Confederation/Calgary Confederation"," 124","Calgary",0,5,1,13,18,56,99,1,193,379
48005,"Calgary Confederation/Calgary Confederation"," 125","Calgary",0,1,0,19,15,52,117,0,204,417
48005,"Calgary Confederation/Calgary Confederation"," 126","Calgary",1,5,3,15,24,48,109,1,206,437
48005,"Calgary Confederation/Calgary Confederation"," 127","Calgary",0,2,2,31,26,49,130,0,240,454
48005,"Calgary Confederation/Calgary Confederation"," 128","Calgary",0,1,4,17,16,39,101,0,178,375
48005,"Calgary Confederation/Calgary Confederation"," 129","Calgary",0,2,0,16,28,36,96,4,182,404
48005,"Calgary Confederation/Calgary Confederation"," 130A","Calgary",0,1,4,19,19,26,79,0,148,321
48005,"Calgary Confederation/Calgary Confederation"," 130B","Mobile poll/Bureau itinérant",0,2,0,9,11,14,54,2,92,99
48005,"Calgary Confederation/Calgary Confederation"," 131","Calgary",0,4,1,9,30,54,129,0,227,486
48005,"Calgary Confederation/Calgary Confederation"," 132","Calgary",1,1,2,12,33,30,104,2,185,505
48005,"Calgary Confederation/Calgary Confederation"," 133","Calgary",3,10,1,21,42,54,128,2,261,479
48005,"Calgary Confederation/Calgary Confederation"," 134","Calgary",0,3,2,5,18,44,132,2,206,482
48005,"Calgary Confederation/Calgary Confederation"," 135","Calgary",0,2,1,11,25,61,171,4,275,500
48005,"Calgary Confederation/Calgary Confederation"," 136","Calgary",1,10,0,15,28,53,134,1,242,402
48005,"Calgary Confederation/Calgary Confederation"," 137","Calgary",0,6,4,13,11,39,97,0,170,376
48005,"Calgary Confederation/Calgary Confederation"," 138","Calgary",0,2,1,16,15,41,144,1,220,397
48005,"Calgary Confederation/Calgary Confederation"," 139","Calgary",0,6,0,9,29,45,135,1,225,414
48005,"Calgary Confederation/Calgary Confederation"," 140","Calgary",0,2,0,6,39,16,57,0,120,152
48005,"Calgary Confederation/Calgary Confederation"," 141","Calgary",0,4,0,15,16,50,111,1,197,397
48005,"Calgary Confederation/Calgary Confederation"," 142","Calgary",0,3,3,20,12,50,110,3,201,441
48005,"Calgary Confederation/Calgary Confederation"," 143","Calgary",0,3,0,13,11,41,141,0,209,442
48005,"Calgary Confederation/Calgary Confederation"," 144","Calgary",0,0,2,20,20,49,85,0,176,438
48005,"Calgary Confederation/Calgary Confederation"," 145","Calgary",1,3,3,18,33,56,116,1,231,423
48005,"Calgary Confederation/Calgary Confederation"," 146","Calgary",0,1,2,14,23,45,112,0,197,401
48005,"Calgary Confederation/Calgary Confederation"," 147","Calgary",0,3,1,31,38,54,91,0,218,463
