Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Emilio Bernardo-Ciddio,Ann Raney,Anna Roberts,Deb Schulte,Anton Strgacic,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35043,"King--Vaughan/King--Vaughan"," 32","King",4,18,57,48,0,2,129,324
35043,"King--Vaughan/King--Vaughan"," 33","King City",9,5,60,36,2,2,114,253
35043,"King--Vaughan/King--Vaughan"," 34","King City",9,6,64,45,2,0,126,312
35043,"King--Vaughan/King--Vaughan"," 35","King",4,12,69,40,0,1,126,293
35043,"King--Vaughan/King--Vaughan"," 36","King City",10,13,129,82,3,1,238,527
35043,"King--Vaughan/King--Vaughan"," 37","King",10,14,107,42,1,2,176,407
35043,"King--Vaughan/King--Vaughan"," 38","King",9,8,96,75,5,3,196,381
35043,"King--Vaughan/King--Vaughan"," 39","Nobleton",15,12,168,94,2,1,292,584
35043,"King--Vaughan/King--Vaughan"," 40","Nobleton",10,6,89,69,2,1,177,363
35043,"King--Vaughan/King--Vaughan"," 41","Nobleton",9,6,179,128,1,2,325,696
35043,"King--Vaughan/King--Vaughan"," 42","Nobleton",22,9,185,113,2,3,334,656
35043,"King--Vaughan/King--Vaughan"," 43","Nobleton",9,6,85,60,1,0,161,329
35043,"King--Vaughan/King--Vaughan"," 44","King",12,17,107,88,2,2,228,452
35043,"King--Vaughan/King--Vaughan"," 45","Nobleton",19,14,74,54,1,0,162,320
35043,"King--Vaughan/King--Vaughan"," 46","Nobleton",16,13,101,88,4,2,224,421
35043,"King--Vaughan/King--Vaughan"," 47","Vaughan",12,6,107,43,1,2,171,517
35043,"King--Vaughan/King--Vaughan"," 48","Vaughan",8,7,65,91,0,0,171,325
35043,"King--Vaughan/King--Vaughan"," 49","Vaughan",22,10,113,175,1,3,324,543
35043,"King--Vaughan/King--Vaughan"," 50","Vaughan",21,18,86,133,3,3,264,447
35043,"King--Vaughan/King--Vaughan"," 51","Vaughan",13,6,137,91,2,3,252,477
35043,"King--Vaughan/King--Vaughan"," 52","Vaughan",7,10,105,77,1,1,201,460
35043,"King--Vaughan/King--Vaughan"," 53","Vaughan",30,8,91,151,4,2,286,479
35043,"King--Vaughan/King--Vaughan"," 54","Vaughan",25,6,118,132,2,0,283,496
35043,"King--Vaughan/King--Vaughan"," 55","Vaughan",19,7,74,36,2,2,140,386
35043,"King--Vaughan/King--Vaughan"," 56","Vaughan",28,6,77,129,1,2,243,412
35043,"King--Vaughan/King--Vaughan"," 57","Vaughan",9,5,110,56,2,0,182,410
35043,"King--Vaughan/King--Vaughan"," 58","Vaughan",8,3,86,64,2,2,165,309
35043,"King--Vaughan/King--Vaughan"," 59A","Vaughan",14,2,110,72,6,0,204,451
35043,"King--Vaughan/King--Vaughan"," 59B","Vaughan",1,3,105,45,2,0,156,355
35043,"King--Vaughan/King--Vaughan"," 60","Vaughan",7,8,149,85,0,0,249,513
35043,"King--Vaughan/King--Vaughan"," 61","Vaughan",14,5,130,86,1,2,238,439
35043,"King--Vaughan/King--Vaughan"," 62","Vaughan",11,8,140,51,0,14,224,411
35043,"King--Vaughan/King--Vaughan"," 63","Vaughan",0,7,134,40,0,0,181,389
