Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Juanita Burnett,Steve Dyck,Aisha Jahangir,Kornelis Klevering,Lloyd Longfield,Mark Paralovos,Ashish Sachan,Gordon Truscott,Michael Wassilyn,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35032,"Guelph/Guelph"," 605","Guelph",2,209,82,2,287,6,103,6,1,2,700,
35032,"Guelph/Guelph"," 606","Guelph",0,168,83,3,238,13,145,7,2,5,664,
35032,"Guelph/Guelph"," 607","Guelph",1,222,94,0,405,29,242,6,3,5,1007,
35032,"Guelph/Guelph"," 608","Guelph",3,253,75,0,256,5,78,1,1,1,673,
35032,"Guelph/Guelph"," 609","Guelph",2,171,68,0,253,14,88,6,2,3,607,
35032,"Guelph/Guelph"," 610","Guelph",0,184,59,0,239,12,121,4,1,2,622,
35032,"Guelph/Guelph"," 611","Guelph",0,185,89,0,389,12,220,7,1,4,907,
35032,"Guelph/Guelph"," 612","Guelph",0,219,129,2,362,17,197,7,0,8,941,
35032,"Guelph/Guelph"," 613","Guelph",2,133,64,0,237,11,105,7,0,2,561,
35032,"Guelph/Guelph"," 614","Guelph",1,252,83,1,401,9,167,10,0,6,930,
35032,"Guelph/Guelph"," 615","Guelph",1,229,38,2,514,14,203,6,1,6,1014,
35032,"Guelph/Guelph"," 616","Guelph",1,198,87,0,413,8,273,3,0,3,986,
35032,"Guelph/Guelph"," 617","Guelph",0,168,61,0,335,10,209,0,1,7,791,
35032,"Guelph/Guelph"," 618","Guelph",1,205,70,0,329,15,123,2,1,1,747,
35032,"Guelph/Guelph"," 619","Guelph",2,214,67,0,531,21,251,7,0,4,1097,
35032,"Guelph/Guelph"," 620","Guelph",1,163,90,1,409,10,259,4,1,3,941,
35032,"Guelph/Guelph",,Group 1/Groupe 1, 1,67,29,0,100,4,19,1,0,12,233,322
35032,"Guelph/Guelph",,Group 2/Groupe 2, 12,1368,521,1,1294,30,480,20,1,40,3767,
