Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Raymond Ayas,Zahia El-Masri,Mélanie Joly,Kathy Laframboise,Jean-Michel Lavarenne,André Parizeau,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 109","Montréal",4,21,87,18,14,26,4,174,383
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 110","Montréal",3,25,120,6,20,86,6,266,448
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 111","Montréal",1,31,109,16,33,52,3,245,435
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 112","Montréal",5,23,113,9,9,77,3,239,398
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 113","Montréal",0,17,148,18,10,13,2,208,357
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 114","Montréal",2,18,144,10,7,26,6,213,424
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 115","Montréal",0,15,174,13,6,17,5,230,458
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 116","Montréal",3,15,91,18,8,12,4,151,393
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 117","Montréal",5,13,134,34,2,52,16,256,466
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 118","Montréal",3,27,125,27,4,15,8,209,393
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 119","Montréal",2,14,89,9,3,18,4,139,301
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 120","Montréal",2,16,181,11,13,27,3,253,546
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 121","Montréal",1,13,82,13,6,40,1,156,296
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 122","Montréal",2,17,82,33,11,27,1,173,346
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 123","Montréal",2,8,70,18,5,7,1,111,288
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 124","Montréal",1,28,98,15,2,12,5,161,423
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 125","Montréal",0,12,110,16,4,6,1,149,386
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 126","Montréal",1,21,110,17,10,25,4,188,381
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 127","Montréal",2,16,123,16,4,27,1,189,406
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 128","Montréal",3,23,124,32,5,15,2,204,427
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 129","Montréal",3,3,57,10,0,2,2,77,194
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 130","Montréal",5,31,150,43,7,3,1,240,554
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 131","Montréal",3,13,99,24,4,5,0,148,405
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 132","Montréal",3,9,117,21,5,12,5,172,446
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 133","Montréal",4,17,91,22,8,13,3,158,431
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 134","Montréal",4,16,94,23,2,12,4,155,369
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 135","Montréal",3,20,90,21,5,26,5,170,434
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 136","Montréal",3,14,57,26,5,27,1,133,335
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 137","Montréal",0,11,128,26,2,6,5,178,388
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 138","Montréal",2,15,73,16,0,29,7,142,360
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 139","Montréal",0,22,190,54,6,13,6,291,566
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 140","Montréal",5,23,89,27,5,9,6,164,392
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 141","Montréal",3,21,134,31,7,19,5,220,495
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 142","Montréal",0,9,58,6,0,0,6,79,188
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 143","Montréal",7,24,178,20,7,33,3,272,530
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 144","Montréal",7,16,112,25,6,7,1,174,437
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 145","Montréal",9,23,106,21,10,20,0,189,411
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 146","Montréal",1,13,96,33,5,22,0,170,347
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 147","Montréal",1,8,75,13,4,18,1,120,337
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 148","Montréal",3,7,142,13,2,6,4,177,403
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 149","Montréal",2,19,109,32,5,8,7,182,340
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 150","Montréal",3,24,126,22,12,18,6,211,411
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 151","Montréal",16,12,134,36,3,26,2,229,419
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 152","Montréal",0,17,110,19,3,9,3,161,364
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 153","Montréal",2,8,92,30,1,16,0,149,357
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 154","Montréal",1,18,116,29,5,6,0,175,389
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 155","Montréal",5,14,166,30,2,6,3,226,421
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 156","Montréal",2,18,144,32,3,7,6,212,382
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 157","Montréal",7,15,142,22,6,9,7,208,373
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 158","Montréal",5,11,132,25,4,6,4,187,348
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 159","Montréal",4,29,92,16,18,65,0,224,361
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 160","Montréal",4,17,132,21,10,18,3,205,410
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 161","Montréal",0,32,86,21,20,52,3,214,374
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 162","Montréal",4,29,97,16,14,41,4,205,403
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 163","Montréal",1,14,84,14,4,9,0,126,329
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 164","Montréal",2,28,170,56,19,17,0,292,550
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 165","Montréal",2,30,160,18,14,43,0,267,537
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 166","Montréal",1,12,139,10,9,29,2,202,467
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 167","Montréal",0,9,147,10,3,4,4,177,492
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 168","Montréal",1,21,55,16,4,57,4,158,324
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 169","Montréal",2,19,84,11,10,36,0,162,329
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 170","Montréal",0,12,57,9,8,18,1,105,304
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 171","Montréal",2,23,70,10,26,51,0,182,352
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 172","Montréal",7,25,85,26,3,42,1,189,439
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 173","Montréal",0,4,27,1,1,6,2,41,307
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 174","Montréal",0,17,141,16,8,22,8,212,460
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 175","Montréal",4,13,73,6,5,9,3,113,355
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 176","Montréal",0,10,97,15,8,8,9,147,419
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 177","Montréal",2,20,92,15,5,17,2,153,402
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 178","Montréal",1,12,144,10,7,7,5,186,489
