Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Pierre Breton,Nathalie Clermont,Darlène Daviault,Andréanne Larouche,Raymonde Plamondon,Mariam Sabbagh,Katherine Turgeon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24072,"Shefford/Shefford"," 187","Granby",74,19,0,72,27,2,13,0,207,491
24072,"Shefford/Shefford"," 188","Granby",70,10,0,71,13,1,21,1,187,433
24072,"Shefford/Shefford"," 189A","Granby",70,11,0,54,13,0,6,0,154,302
24072,"Shefford/Shefford"," 189B","Granby",68,11,1,48,10,2,10,0,150,296
24072,"Shefford/Shefford"," 190A","Granby",91,15,0,61,15,1,5,3,191,381
24072,"Shefford/Shefford"," 190B","Granby",94,22,0,84,14,2,13,4,233,440
24072,"Shefford/Shefford"," 191","Granby",102,22,0,50,14,0,5,4,197,391
24072,"Shefford/Shefford"," 192","Granby",75,31,0,84,13,1,10,2,216,449
24072,"Shefford/Shefford"," 193A","Granby",76,14,0,78,14,2,9,1,194,329
24072,"Shefford/Shefford"," 193B","Granby",65,16,1,67,11,0,11,3,174,296
24072,"Shefford/Shefford"," 194A","Granby",55,17,2,54,13,0,7,4,152,310
24072,"Shefford/Shefford"," 194B","Granby",59,19,0,65,16,1,9,4,173,322
24072,"Shefford/Shefford"," 195A","Granby",46,16,0,52,14,1,5,2,136,265
24072,"Shefford/Shefford"," 195B","Granby",58,18,0,48,5,0,10,1,140,268
24072,"Shefford/Shefford"," 196","Granby",64,19,1,72,19,0,10,1,186,449
24072,"Shefford/Shefford"," 197","Granby",85,26,1,108,17,2,18,4,261,512
24072,"Shefford/Shefford"," 198","Granby",64,24,1,59,9,1,11,5,174,342
24072,"Shefford/Shefford"," 199","Granby",107,14,0,130,17,2,10,3,283,505
24072,"Shefford/Shefford"," 200","Saint-Césaire",47,37,0,74,11,0,6,1,176,335
24072,"Shefford/Shefford"," 201","Saint-Césaire",35,31,0,69,13,0,8,4,160,371
24072,"Shefford/Shefford"," 202","Saint-Césaire",57,31,2,81,11,1,12,3,198,457
24072,"Shefford/Shefford"," 203","Saint-Césaire",34,10,5,62,10,2,7,0,130,434
24072,"Shefford/Shefford"," 204","Saint-Césaire",63,21,1,90,9,3,11,3,201,478
24072,"Shefford/Shefford"," 205","Saint-Césaire",49,13,2,104,7,0,12,1,188,460
24072,"Shefford/Shefford"," 206","Saint-Césaire",67,18,2,125,9,0,13,4,238,498
24072,"Shefford/Shefford"," 207","Saint-Césaire",66,21,0,77,22,5,9,0,200,476
24072,"Shefford/Shefford"," 208","Saint-Césaire",53,23,1,106,17,2,15,10,227,505
24072,"Shefford/Shefford"," 209","Saint-Césaire",37,27,2,79,6,1,4,3,159,424
24072,"Shefford/Shefford"," 210","Sainte-Angèle-de-Monnoir",30,29,0,77,6,2,8,1,153,307
24072,"Shefford/Shefford"," 211","Sainte-Angèle-de-Monnoir",57,29,2,161,17,1,12,5,284,411
24072,"Shefford/Shefford"," 212","Sainte-Angèle-de-Monnoir",42,20,1,125,29,2,15,5,239,361
24072,"Shefford/Shefford"," 213","Sainte-Angèle-de-Monnoir",41,18,0,103,18,2,6,6,194,286
24072,"Shefford/Shefford"," 214","Saint-Alphonse",53,21,0,70,11,0,8,9,172,342
24072,"Shefford/Shefford"," 215","Saint-Alphonse",60,22,1,79,14,1,10,5,192,345
24072,"Shefford/Shefford"," 216","Saint-Alphonse",57,26,3,85,15,4,18,6,214,422
24072,"Shefford/Shefford"," 217","Saint-Alphonse",84,25,3,110,14,4,10,12,262,489
24072,"Shefford/Shefford"," 218","Saint-Alphonse",29,21,1,58,8,1,10,2,130,262
24072,"Shefford/Shefford"," 219","Saint-Alphonse",58,19,2,76,9,0,8,2,174,284
24072,"Shefford/Shefford"," 220","Saint-Alphonse",38,22,0,51,18,3,6,6,144,259
24072,"Shefford/Shefford"," 221","Ange-Gardien",76,35,1,82,14,3,4,6,221,404
24072,"Shefford/Shefford"," 222","Ange-Gardien",54,22,2,74,15,0,14,10,191,347
24072,"Shefford/Shefford"," 223","Ange-Gardien",59,20,2,95,25,0,8,3,212,340
24072,"Shefford/Shefford"," 224","Ange-Gardien",71,27,1,98,16,3,10,5,231,390
24072,"Shefford/Shefford"," 225","Ange-Gardien",61,33,0,71,9,1,8,5,188,346
24072,"Shefford/Shefford"," 400","Granby",128,23,1,43,1,2,2,26,226,297
24072,"Shefford/Shefford"," 401","Granby",114,32,2,37,3,1,3,20,212,287
24072,"Shefford/Shefford"," 500","Mobile poll/Bureau itinérant",18,3,1,3,2,0,2,1,30,85
24072,"Shefford/Shefford"," 501","Mobile poll/Bureau itinérant",52,21,1,14,0,0,2,11,101,147
24072,"Shefford/Shefford"," 502","Mobile poll/Bureau itinérant",66,7,1,26,1,0,1,14,116,144
24072,"Shefford/Shefford"," 503","Mobile poll/Bureau itinérant",35,11,4,17,1,0,0,0,68,117
24072,"Shefford/Shefford"," 504","Mobile poll/Bureau itinérant",47,10,3,14,2,0,1,10,87,141
24072,"Shefford/Shefford"," 505","Mobile poll/Bureau itinérant",67,7,2,15,4,2,3,4,104,341
24072,"Shefford/Shefford"," 506","Mobile poll/Bureau itinérant",24,8,1,10,1,1,1,2,48,139
24072,"Shefford/Shefford"," 507","Mobile poll/Bureau itinérant",88,27,3,28,2,0,0,15,163,261
24072,"Shefford/Shefford"," 508","Mobile poll/Bureau itinérant",25,6,1,9,2,3,1,7,54,100
24072,"Shefford/Shefford"," 509","Mobile poll/Bureau itinérant",27,1,1,7,1,1,3,3,44,86
24072,"Shefford/Shefford"," 600","Rougemont",137,66,5,275,28,8,28,6,553,
24072,"Shefford/Shefford"," 601","Saint-Césaire",311,148,4,453,55,7,41,26,1045,
24072,"Shefford/Shefford"," 602","Saint-Paul-d'Abbotsford",211,84,2,200,26,4,25,13,565,
24072,"Shefford/Shefford"," 603","Saint-Alphonse-de-Granby--Ange-Gardien",166,95,0,206,32,3,21,12,535,
24072,"Shefford/Shefford"," 604","Granby",297,136,4,312,36,2,23,11,821,
24072,"Shefford/Shefford"," 605","Shefford",451,128,2,390,56,4,35,18,1084,
24072,"Shefford/Shefford"," 606","Granby",352,104,6,379,52,7,33,29,962,
24072,"Shefford/Shefford"," 607","Granby",345,136,1,411,48,6,20,20,987,
24072,"Shefford/Shefford"," 608","Granby",646,183,7,504,46,5,39,32,1462,
24072,"Shefford/Shefford"," 609","Granby",381,112,11,410,33,13,43,28,1031,
24072,"Shefford/Shefford"," 610","Granby",430,140,3,465,48,6,49,19,1160,
