Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jennifer Alderson,Bill Capes,Audrey Festeryga,Chris Lewis,Tracey Ramsey,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35026,"Essex/Essex"," 97","Essex",14,5,24,91,106,0,240,543
35026,"Essex/Essex"," 98","Essex",8,5,28,89,108,1,239,514
35026,"Essex/Essex"," 99","LaSalle",10,3,41,94,54,1,203,438
35026,"Essex/Essex"," 100","LaSalle",11,3,41,91,93,0,239,486
35026,"Essex/Essex"," 101","LaSalle",9,5,39,84,134,5,276,557
35026,"Essex/Essex"," 102","LaSalle",13,5,70,89,101,5,283,532
35026,"Essex/Essex"," 103","LaSalle",12,9,44,110,114,2,291,536
35026,"Essex/Essex"," 104","LaSalle",8,2,45,98,70,5,228,493
35026,"Essex/Essex"," 105","Essex",7,7,19,103,127,0,263,481
35026,"Essex/Essex"," 106","Essex",7,5,29,107,113,0,261,506
35026,"Essex/Essex"," 107","Essex",6,5,29,97,113,2,252,545
35026,"Essex/Essex"," 108","Essex",9,4,28,70,113,0,224,402
35026,"Essex/Essex"," 109","Essex",8,5,23,64,89,0,189,385
35026,"Essex/Essex"," 110","Essex",4,4,28,120,128,2,286,568
35026,"Essex/Essex"," 111","Kingsville",9,6,41,149,98,1,304,569
35026,"Essex/Essex"," 112","Essex",6,4,26,82,90,0,208,394
35026,"Essex/Essex"," 113","Essex",11,4,40,123,104,3,285,548
35026,"Essex/Essex"," 114","Kingsville",6,12,45,110,116,3,292,601
35026,"Essex/Essex"," 115","Kingsville",7,8,32,132,79,2,260,472
35026,"Essex/Essex"," 116","Kingsville",10,2,28,149,63,4,256,450
35026,"Essex/Essex"," 117","Kingsville",15,2,41,130,68,5,261,464
35026,"Essex/Essex"," 118","Amherstburg",6,3,56,71,106,0,242,429
35026,"Essex/Essex"," 119","Amherstburg",10,6,71,103,105,0,295,543
35026,"Essex/Essex"," 120","Amherstburg",4,1,30,65,57,0,157,384
35026,"Essex/Essex"," 121","Amherstburg",5,7,33,57,69,0,171,377
35026,"Essex/Essex"," 122","Essex",5,5,22,118,62,2,214,370
35026,"Essex/Essex"," 123","Essex",5,7,17,102,54,0,185,354
35026,"Essex/Essex"," 124","Kingsville",8,4,23,101,72,1,209,310
35026,"Essex/Essex"," 125","Kingsville",7,4,29,129,93,1,263,428
35026,"Essex/Essex"," 126","Kingsville",10,8,33,144,123,1,319,497
35026,"Essex/Essex"," 127","Kingsville",13,9,55,165,120,2,364,574
35026,"Essex/Essex"," 128","Essex",9,2,11,53,62,1,138,305
35026,"Essex/Essex"," 129","Essex",6,4,22,50,73,0,155,346
35026,"Essex/Essex"," 130","Essex",7,6,42,73,87,0,215,560
35026,"Essex/Essex"," 131","Essex",7,7,49,99,76,0,238,438
35026,"Essex/Essex"," 132","Essex",4,5,37,91,89,0,226,491
35026,"Essex/Essex"," 133","Essex",5,4,32,107,103,3,254,474
35026,"Essex/Essex"," 134","Essex",9,1,51,103,73,1,238,529
35026,"Essex/Essex"," 135","Amherstburg",9,2,38,93,66,0,208,474
35026,"Essex/Essex"," 136","Amherstburg",11,7,28,82,76,0,204,432
35026,"Essex/Essex"," 137","Amherstburg",10,5,65,115,128,0,323,572
35026,"Essex/Essex"," 138","Amherstburg",4,2,51,86,26,1,170,358
35026,"Essex/Essex"," 139","Amherstburg",3,2,31,61,33,0,130,271
35026,"Essex/Essex"," 140","Amherstburg",12,5,67,118,91,0,293,542
35026,"Essex/Essex"," 141","Amherstburg",5,6,63,138,94,2,308,567
35026,"Essex/Essex"," 142","Amherstburg",5,4,40,72,75,1,197,413
35026,"Essex/Essex"," 143","Amherstburg",9,9,48,77,71,0,214,464
35026,"Essex/Essex"," 144","Amherstburg",3,0,34,71,66,0,174,433
35026,"Essex/Essex"," 145","Kingsville",11,5,45,132,59,1,253,485
35026,"Essex/Essex"," 146","Kingsville",8,3,41,144,54,1,251,530
35026,"Essex/Essex"," 147A","Kingsville",9,2,35,78,53,0,177,306
