Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jean-Jacques Desgranges,Darcy Neal Donnelly,Francis Drouin,Daniel John Fey,Marc-Antoine Gagnier,Pierre Lemieux,Marthe Lépine,Konstantine Malakos,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 157","Maxville",3,4,44,1,1,107,6,41,2,209,312
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 158","Dominionville",11,1,46,0,0,148,5,19,1,231,398
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 159","Cumberland",1,1,114,1,0,126,10,32,0,285,398
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 160","Cumberland",5,2,110,0,0,92,13,31,0,253,423
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 161","Cumberland",1,0,131,0,1,118,9,33,0,293,424
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 162","Cumberland",7,0,94,2,0,127,9,29,1,269,406
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 163","Cumberland",3,1,84,1,0,85,6,23,2,205,384
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 164","Cumberland",4,0,90,2,1,83,3,16,1,200,369
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 165","Cumberland",6,1,106,1,0,91,14,30,1,250,460
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 166","Cumberland",2,1,56,0,0,84,4,25,3,175,349
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 167","Cumberland",7,0,96,1,0,74,8,32,0,218,363
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 168","Cumberland",5,2,69,1,0,115,11,32,3,238,450
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 169","The Nation / La Nation",3,1,116,0,0,111,9,44,3,287,448
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 170","Limoges",5,1,153,2,1,116,13,75,1,367,603
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 171","Limoges",6,0,90,2,0,74,7,16,3,198,352
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 172","Limoges",7,1,151,0,1,95,9,40,4,308,479
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 173","Limoges",3,4,103,1,0,77,6,33,5,232,395
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 174","The Nation / La Nation",4,1,146,1,0,84,13,41,10,300,519
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 175","Limoges",1,1,64,0,1,59,7,22,2,157,277
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 176","The Nation / La Nation",5,1,95,0,1,86,7,35,1,231,391
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 177","Limoges",5,1,73,2,0,74,6,14,2,177,335
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 178","Benoit",5,0,108,1,0,76,10,24,0,224,420
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 179","Forest Park",2,2,99,2,2,98,8,41,1,255,482
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 180","Apple Hill",7,2,104,3,2,163,15,39,2,337,608
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 181","Casselman",1,0,63,0,0,53,9,16,1,143,293
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 182","Benoit",2,1,79,1,0,51,6,11,1,152,297
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 183","Casselman",0,0,84,0,1,53,12,20,1,171,406
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 184","Casselman",1,1,116,0,3,32,10,15,3,181,310
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 185","Casselman",8,2,85,0,0,44,5,19,1,164,307
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 186","Casselman",1,0,132,1,1,46,4,18,2,205,352
