Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Lori Campbell,Bardish Chagger,Erika Traub,Kirsten Wright,Jerry Zhang,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35112,"Waterloo/Waterloo"," 130","Waterloo",45,119,5,39,34,0,242,387
35112,"Waterloo/Waterloo"," 131","Waterloo",61,123,11,41,35,0,271,433
35112,"Waterloo/Waterloo"," 132","Waterloo",55,113,5,30,47,2,252,457
35112,"Waterloo/Waterloo"," 133","Waterloo",23,140,3,34,44,0,244,397
35112,"Waterloo/Waterloo"," 134","Waterloo",30,95,2,26,47,1,201,403
35112,"Waterloo/Waterloo"," 135","Waterloo",43,116,5,36,29,1,230,438
35112,"Waterloo/Waterloo"," 136","Waterloo",25,158,5,23,58,2,271,526
35112,"Waterloo/Waterloo"," 137","Waterloo",26,131,5,32,18,1,213,378
35112,"Waterloo/Waterloo"," 138","Waterloo",51,81,8,29,29,1,199,346
35112,"Waterloo/Waterloo"," 139","Waterloo",21,80,1,9,23,1,135,287
35112,"Waterloo/Waterloo"," 140","Waterloo",27,128,3,25,76,2,261,449
35112,"Waterloo/Waterloo"," 141","Waterloo",31,125,3,18,85,4,266,476
35112,"Waterloo/Waterloo"," 142","Waterloo",46,126,3,34,38,0,247,507
35112,"Waterloo/Waterloo"," 143","Waterloo",32,136,5,15,81,0,269,568
35112,"Waterloo/Waterloo"," 144","Waterloo",16,95,0,13,75,0,199,398
35112,"Waterloo/Waterloo"," 145","Waterloo",37,136,3,10,59,5,250,462
35112,"Waterloo/Waterloo"," 146","Waterloo",24,142,2,18,93,1,280,466
35112,"Waterloo/Waterloo"," 147","Waterloo",39,108,2,20,91,0,260,510
35112,"Waterloo/Waterloo"," 148","Waterloo",22,141,8,13,53,2,239,424
35112,"Waterloo/Waterloo"," 149","Waterloo",42,86,7,14,31,1,181,420
35112,"Waterloo/Waterloo"," 150","Waterloo",66,139,5,30,42,2,284,587
35112,"Waterloo/Waterloo"," 151","Waterloo",20,94,0,19,26,1,160,287
35112,"Waterloo/Waterloo"," 152","Waterloo",69,122,8,37,51,1,288,528
35112,"Waterloo/Waterloo"," 153","Waterloo",15,129,3,19,78,1,245,481
35112,"Waterloo/Waterloo"," 154","Waterloo",15,123,2,19,68,1,228,382
35112,"Waterloo/Waterloo"," 155","Waterloo",18,108,3,14,85,0,228,431
35112,"Waterloo/Waterloo"," 156","Waterloo",3,93,2,14,36,1,149,284
