Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Melody Aldred,Lisa Birtch-Carriere,Matthew Chambers,Brendan Knight,Dave MacKenzie,Wendy Martin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35080,"Oxford/Oxford"," 58B","Woodstock",Merged with No./Fusionné avec le n°56B,,,,,,,,160
35080,"Oxford/Oxford"," 58C","Woodstock",Merged with No./Fusionné avec le n°56C,,,,,,,,133
35080,"Oxford/Oxford"," 59A","Woodstock",Merged with No./Fusionné avec le n°56A,,,,,,,,150
35080,"Oxford/Oxford"," 59B","Woodstock",Merged with No./Fusionné avec le n°56B,,,,,,,,110
35080,"Oxford/Oxford"," 59C","Woodstock",Merged with No./Fusionné avec le n°56C,,,,,,,,148
35080,"Oxford/Oxford"," 60A","Woodstock",Merged with No./Fusionné avec le n°56A,,,,,,,,142
35080,"Oxford/Oxford"," 60B","Woodstock",Merged with No./Fusionné avec le n°56B,,,,,,,,129
35080,"Oxford/Oxford"," 60C","Woodstock",Merged with No./Fusionné avec le n°56C,,,,,,,,134
35080,"Oxford/Oxford"," 61","Woodstock",2,30,82,44,113,12,0,283,528
35080,"Oxford/Oxford"," 62","Woodstock",6,24,66,57,132,11,0,296,563
35080,"Oxford/Oxford"," 63","Woodstock",1,14,62,40,54,4,0,175,430
35080,"Oxford/Oxford"," 64","Woodstock",2,15,66,35,84,8,3,213,431
35080,"Oxford/Oxford"," 65","Woodstock",2,29,47,58,110,6,0,252,449
35080,"Oxford/Oxford"," 66","Woodstock",1,16,43,61,81,2,4,208,411
35080,"Oxford/Oxford"," 67","Woodstock",5,23,52,35,124,8,5,252,442
35080,"Oxford/Oxford"," 68","Woodstock",4,40,57,58,77,9,0,245,505
35080,"Oxford/Oxford"," 69","Woodstock",6,19,64,52,82,2,3,228,417
35080,"Oxford/Oxford"," 70","Woodstock",2,17,56,68,77,8,0,228,442
35080,"Oxford/Oxford"," 71","Woodstock",1,22,53,58,99,6,1,240,422
35080,"Oxford/Oxford"," 72","Woodstock",1,11,55,46,74,0,1,188,381
35080,"Oxford/Oxford"," 73A","Woodstock",2,24,73,49,88,6,2,244,135
35080,"Oxford/Oxford"," 73B","Woodstock",0,14,62,37,83,17,3,216,126
35080,"Oxford/Oxford"," 73C","Woodstock",3,33,66,44,118,16,1,281,141
35080,"Oxford/Oxford"," 74A","Woodstock",Merged with No./Fusionné avec le n°73A,,,,,,,,150
35080,"Oxford/Oxford"," 74B","Woodstock",Merged with No./Fusionné avec le n°73B,,,,,,,,155
35080,"Oxford/Oxford"," 74C","Woodstock",Merged with No./Fusionné avec le n°73C,,,,,,,,170
35080,"Oxford/Oxford"," 75A","Woodstock",Merged with No./Fusionné avec le n°73A,,,,,,,,116
