Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Raymond Bernier,Sylvie Boucher,Gérard Briand,Caroline Desbiens,Manon Fortin,Richard Guertin,Jean-Claude Parent,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 64","Baie-Saint-Paul",0,24,1,84,20,8,1,2,140,341
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 65","Baie-Saint-Paul",4,17,4,97,24,10,1,2,159,357
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 66","Baie-Saint-Paul",0,21,10,61,27,4,1,2,126,339
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 67","Baie-Saint-Paul",5,32,9,90,58,7,0,4,205,475
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 68","Baie-Saint-Paul",1,30,5,125,42,4,0,4,211,477
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 69","Baie-Saint-Paul",3,25,6,59,37,12,2,3,147,409
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 70A","Baie-Saint-Paul",2,12,9,65,32,8,3,1,132,365
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 70B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501A,,,,,,,,,10
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 71","Baie-Saint-Paul",2,30,6,81,38,11,0,3,171,433
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 72","Sainte-Anne-de-Beaupré",2,45,7,49,17,3,5,3,131,339
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 73","Sainte-Anne-de-Beaupré",2,47,8,57,35,2,5,4,160,396
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 74","Sainte-Anne-de-Beaupré",2,46,4,34,19,2,0,1,108,279
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 75","Sainte-Anne-de-Beaupré",5,28,6,33,21,2,0,3,98,275
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 76","Sainte-Anne-de-Beaupré",3,49,7,37,31,5,5,1,138,352
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 77","Sainte-Anne-de-Beaupré",4,38,3,42,13,2,2,4,108,292
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 78","Sainte-Anne-de-Beaupré",5,67,11,35,39,3,15,4,179,449
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 79","Petite-Rivière-Saint-François",2,45,10,81,58,6,2,0,204,366
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 80","Petite-Rivière-Saint-François",4,32,10,59,42,4,4,0,155,327
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 81","Saint-Tite-des-Caps",0,54,3,46,35,3,5,6,152,346
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 82","Saint-Tite-des-Caps",1,50,5,75,26,4,7,4,172,296
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 83","Saint-Tite-des-Caps",0,56,4,59,32,1,3,2,157,269
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 84","Saint-Tite-des-Caps",1,83,4,42,32,4,6,10,182,306
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 85","Saint-Ferréol-les-Neiges",7,50,9,54,34,7,1,5,167,382
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 86","Saint-Ferréol-les-Neiges",5,46,2,37,32,1,0,0,123,335
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 87","Saint-Ferréol-les-Neiges",3,52,14,50,52,6,5,3,185,425
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 88","Saint-Joachim",2,28,5,34,21,2,4,5,101,361
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 89","Saint-Ferréol-les-Neiges",4,45,22,63,73,12,1,6,226,484
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 90","Saint-Ferréol-les-Neiges",4,37,12,62,51,8,5,4,183,409
