Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Daniel Brisson,Ali Dahan,Macarena Diab,Marie-Josée Guérette,Christian Hébert,Jérémie Juneau,Joël Lightbound,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24044,"Louis-Hébert/Louis-Hébert"," 139","Québec",Merged with No./Fusionné avec le n°138,,,,,,,,,285
24044,"Louis-Hébert/Louis-Hébert"," 140","Québec",1,0,10,23,49,9,70,3,165,319
24044,"Louis-Hébert/Louis-Hébert"," 141","Québec",6,0,9,31,52,13,74,1,186,340
24044,"Louis-Hébert/Louis-Hébert"," 142","Québec",7,2,2,52,69,20,64,2,218,410
24044,"Louis-Hébert/Louis-Hébert"," 143","Québec",3,1,8,49,63,14,71,2,211,394
24044,"Louis-Hébert/Louis-Hébert"," 144","Québec",6,2,7,71,68,23,64,5,246,614
24044,"Louis-Hébert/Louis-Hébert"," 145","Québec",4,1,5,55,45,4,51,3,168,364
24044,"Louis-Hébert/Louis-Hébert"," 146","Québec",6,1,6,52,62,15,83,1,226,427
24044,"Louis-Hébert/Louis-Hébert"," 147","Québec",5,1,7,48,57,20,69,2,209,396
24044,"Louis-Hébert/Louis-Hébert"," 148","Québec",7,0,11,80,43,11,82,2,236,466
24044,"Louis-Hébert/Louis-Hébert"," 149","Québec",3,1,7,69,57,12,74,3,226,390
24044,"Louis-Hébert/Louis-Hébert"," 150","Québec",7,1,5,54,33,17,61,3,181,377
24044,"Louis-Hébert/Louis-Hébert"," 151","Québec",0,0,6,27,42,16,62,1,154,419
24044,"Louis-Hébert/Louis-Hébert"," 152","Québec",9,0,13,52,48,14,58,3,197,407
24044,"Louis-Hébert/Louis-Hébert"," 153","Québec",1,5,5,31,44,27,84,2,199,431
24044,"Louis-Hébert/Louis-Hébert"," 154","Québec",3,0,10,20,57,28,57,2,177,328
24044,"Louis-Hébert/Louis-Hébert"," 155","Québec",1,1,6,25,37,13,70,3,156,296
24044,"Louis-Hébert/Louis-Hébert"," 156","Québec",5,1,7,51,56,17,123,3,263,416
24044,"Louis-Hébert/Louis-Hébert"," 157","Québec",1,4,6,20,36,22,84,2,175,351
24044,"Louis-Hébert/Louis-Hébert"," 158A","Québec",2,1,6,27,54,14,84,3,191,330
24044,"Louis-Hébert/Louis-Hébert"," 158B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°504B,,,,,,,,,48
24044,"Louis-Hébert/Louis-Hébert"," 159","Québec",2,3,10,28,63,16,81,3,206,343
