Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alexandre Deschênes,Mike Duggan,Greg Fergus,Sébastien Grenier,Josée Poirier Defoy,Joanie Riopel,Rowen Tanguay,Nicolas Thibodeau,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24030,"Hull--Aylmer/Hull--Aylmer"," 107","Gatineau",0,3,63,0,22,35,2,41,2,168,376
24030,"Hull--Aylmer/Hull--Aylmer"," 108","Gatineau",0,12,134,1,30,43,7,50,2,279,446
24030,"Hull--Aylmer/Hull--Aylmer"," 109","Gatineau",2,14,80,1,23,45,2,44,5,216,378
24030,"Hull--Aylmer/Hull--Aylmer"," 110","Gatineau",2,16,109,1,29,39,0,48,1,245,430
24030,"Hull--Aylmer/Hull--Aylmer"," 111","Gatineau",1,9,92,1,27,47,5,44,5,231,428
24030,"Hull--Aylmer/Hull--Aylmer"," 112","Gatineau",0,12,105,0,12,17,3,27,4,180,369
24030,"Hull--Aylmer/Hull--Aylmer"," 113","Gatineau",0,18,151,3,13,32,1,29,2,249,484
24030,"Hull--Aylmer/Hull--Aylmer"," 114","Gatineau",0,30,150,0,25,25,5,31,1,267,471
24030,"Hull--Aylmer/Hull--Aylmer"," 115","Gatineau",0,22,161,2,24,24,2,24,0,259,486
24030,"Hull--Aylmer/Hull--Aylmer"," 116","Gatineau",0,33,146,2,11,27,1,23,0,243,497
24030,"Hull--Aylmer/Hull--Aylmer"," 117","Gatineau",0,46,132,1,12,24,1,20,3,239,445
24030,"Hull--Aylmer/Hull--Aylmer"," 118","Gatineau",0,22,153,0,4,24,0,25,1,229,454
24030,"Hull--Aylmer/Hull--Aylmer"," 119","Gatineau",0,32,141,0,10,18,4,30,4,239,542
24030,"Hull--Aylmer/Hull--Aylmer"," 120","Gatineau",0,16,143,1,14,25,3,15,2,219,435
24030,"Hull--Aylmer/Hull--Aylmer"," 121","Gatineau",0,35,233,1,13,23,2,51,0,358,590
24030,"Hull--Aylmer/Hull--Aylmer"," 122","Gatineau",0,22,123,0,7,13,4,35,1,205,445
24030,"Hull--Aylmer/Hull--Aylmer"," 123","Gatineau",0,33,160,0,14,14,5,36,0,262,489
24030,"Hull--Aylmer/Hull--Aylmer"," 124","Gatineau",0,28,122,0,11,14,3,28,1,207,417
24030,"Hull--Aylmer/Hull--Aylmer"," 125","Gatineau",0,39,177,1,13,26,4,30,2,292,520
