Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Corneliu Chisu,Peter Forint,Eileen Higdon,Cyma Musarat,Jennifer O'Connell,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 64","Pickering",0,5,21,27,150,1,204,417
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 65","Pickering",2,4,27,34,111,3,181,444
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 66","Pickering",2,4,15,49,153,0,223,462
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 67","Pickering",2,10,34,28,146,2,222,471
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 68","Pickering",3,9,31,24,100,4,171,369
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 69","Pickering",0,5,22,32,132,5,196,482
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 70","Pickering",3,6,21,55,133,1,219,480
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 71A","Pickering",2,8,16,29,116,2,173,396
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 71B","Pickering",2,4,17,32,117,3,175,416
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 72","Pickering",4,5,26,36,94,0,165,427
