Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tammy Cook-Searson,Georgina Jolibois,Sarah Kraynick,Jerome Perrault,Gary Vidal,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 132A","Cumberland 20",Merged with No./Fusionné avec le n°131A,,,,,,,73
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 132B","Cumberland 20",143,37,0,1,5,0,186,91
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 133A","Cumberland House",Merged with No./Fusionné avec le n°131A,,,,,,,64
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 133B","Cumberland House",Merged with No./Fusionné avec le n°132B,,,,,,,33
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 134","Mistawasis 103",115,64,4,1,4,5,193,325
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 135","Red Earth 29",132,15,3,1,6,0,157,622
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 136","Shoal Lake--Ruby Lake",127,7,3,1,2,0,140,352
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 500","Mobile poll/Bureau itinérant",Results combined with No./Résultats combinés au n°501,,,,,,,0
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 501","Mobile poll/Bureau itinérant",8,3,0,0,1,0,12,4
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 502","Mobile poll/Bureau itinérant",9,12,0,1,15,1,38,70
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 503","Mobile poll/Bureau itinérant",3,6,0,1,6,0,16,44
