Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Danny Boudreault,Alexis Brunelle-Duceppe,Jean-Simon Fortin,Jocelyn Fradette,Julie Gagnon-Bond,Richard Hébert,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 152","Saint-Bruno",2,82,9,78,2,37,2,212,360
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 153","Saint-Bruno",1,75,16,27,8,26,4,157,293
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 154","Saint-Bruno",3,88,12,34,6,31,3,177,372
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 155","Saint-Bruno",1,109,8,68,6,46,9,247,392
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 156","Saint-Bruno",0,101,9,37,3,36,6,192,324
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 157","Saint-Félicien",0,87,15,44,5,51,8,210,500
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 158","Saint-Félicien",1,80,7,38,3,43,4,176,445
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 159","Saint-Félicien",1,50,8,30,6,34,2,131,326
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 160","Saint-Félicien",1,104,3,58,8,47,3,224,487
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 161","Saint-Félicien",1,70,19,33,10,48,2,183,415
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 162","Saint-Félicien",0,75,11,40,4,55,4,189,405
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 163","Saint-Félicien",1,80,6,42,3,36,1,169,419
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 164","Saint-Félicien",1,64,9,33,0,51,7,165,443
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 165","Saint-Félicien",6,104,11,36,4,58,3,222,457
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 166","Hébertville-Station",1,73,16,42,3,38,3,176,265
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 167","Hébertville-Station",1,112,11,74,6,38,6,248,433
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 168","Hébertville-Station",0,83,4,54,6,23,2,172,291
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 169","Saint-Prime",1,57,13,30,2,34,2,139,293
