Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,William Archer,Scott Armstrong,Jason Blanch,Larry Duchesne,Stephen J Garvey,Jody O'Blenis,Matthew V. Rushton,Lenore Zann,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12003,"Cumberland--Colchester/Cumberland--Colchester"," 146","Millbrook",1,10,13,57,0,1,1,65,0,148,309
12003,"Cumberland--Colchester/Cumberland--Colchester"," 147","Millbrook",1,8,20,58,0,0,1,81,0,169,347
12003,"Cumberland--Colchester/Cumberland--Colchester"," 148","Truro Heights",1,53,19,22,0,0,1,64,1,161,368
12003,"Cumberland--Colchester/Cumberland--Colchester"," 149","Truro Heights",0,52,23,22,0,1,0,68,1,167,386
12003,"Cumberland--Colchester/Cumberland--Colchester"," 150","Truro Heights",2,71,12,27,1,0,0,52,1,166,359
12003,"Cumberland--Colchester/Cumberland--Colchester"," 151","Lower Truro",5,66,18,41,1,0,0,104,2,237,405
12003,"Cumberland--Colchester/Cumberland--Colchester"," 152","Great Village",0,73,9,26,1,0,1,68,3,181,275
12003,"Cumberland--Colchester/Cumberland--Colchester"," 153","Glenholme",0,58,7,16,0,0,0,68,1,150,268
12003,"Cumberland--Colchester/Cumberland--Colchester"," 154","Truro",6,100,12,30,0,0,0,88,1,237,362
12003,"Cumberland--Colchester/Cumberland--Colchester"," 155","Hilden",2,51,22,24,0,0,1,52,2,154,262
12003,"Cumberland--Colchester/Cumberland--Colchester"," 156","Brookfield",0,82,23,33,0,0,3,96,3,240,440
12003,"Cumberland--Colchester/Cumberland--Colchester"," 157","Hilden",7,59,16,20,2,0,1,69,2,176,287
12003,"Cumberland--Colchester/Cumberland--Colchester"," 158","Hilden",4,57,14,22,0,0,1,56,1,155,268
12003,"Cumberland--Colchester/Cumberland--Colchester"," 159","Portapique",1,66,16,18,1,1,2,63,2,170,339
12003,"Cumberland--Colchester/Cumberland--Colchester"," 160","Lower Cove--Joggins",7,137,38,26,0,0,1,74,5,288,484
12003,"Cumberland--Colchester/Cumberland--Colchester"," 161","Bass River",0,85,28,24,0,1,3,100,0,241,415
12003,"Cumberland--Colchester/Cumberland--Colchester"," 162","Southampton",2,109,30,22,0,1,1,75,8,248,416
12003,"Cumberland--Colchester/Cumberland--Colchester"," 163","Clifton",4,68,27,29,0,0,3,78,3,212,347
12003,"Cumberland--Colchester/Cumberland--Colchester"," 164","Middle Stewiacke",3,81,15,33,1,0,0,62,0,195,348
12003,"Cumberland--Colchester/Cumberland--Colchester"," 165","Meadowvale",4,59,18,16,1,0,1,33,1,133,223
12003,"Cumberland--Colchester/Cumberland--Colchester"," 166","Brookfield",1,48,14,19,1,1,0,47,2,133,265
12003,"Cumberland--Colchester/Cumberland--Colchester"," 167","Brookfield",2,55,5,10,1,0,0,24,4,101,249
12003,"Cumberland--Colchester/Cumberland--Colchester"," 168","Brookfield",4,53,17,16,0,0,0,45,0,135,341
12003,"Cumberland--Colchester/Cumberland--Colchester"," 169","Brookfield",4,56,9,13,0,0,1,48,1,132,307
12003,"Cumberland--Colchester/Cumberland--Colchester"," 170","Brookfield",0,72,10,25,0,0,1,70,1,179,345
12003,"Cumberland--Colchester/Cumberland--Colchester"," 171","Economy",0,72,21,10,0,0,0,77,0,180,351
12003,"Cumberland--Colchester/Cumberland--Colchester"," 172","Halfway River",0,15,5,4,0,0,1,14,0,39,69
12003,"Cumberland--Colchester/Cumberland--Colchester"," 173","Five Islands",1,35,22,19,0,0,0,72,0,149,261
12003,"Cumberland--Colchester/Cumberland--Colchester"," 174","Stewiacke East",0,64,16,35,1,0,0,49,0,165,339
12003,"Cumberland--Colchester/Cumberland--Colchester"," 175","Fort Ellis",5,102,18,28,0,1,5,66,0,225,442
12003,"Cumberland--Colchester/Cumberland--Colchester"," 176","Stewiacke East",2,31,19,26,1,0,3,59,1,142,300
12003,"Cumberland--Colchester/Cumberland--Colchester"," 177","Stewiacke",3,40,26,18,0,0,3,46,0,136,272
12003,"Cumberland--Colchester/Cumberland--Colchester"," 178","Stewiacke",5,59,16,31,1,2,6,51,2,173,427
12003,"Cumberland--Colchester/Cumberland--Colchester"," 179","Stewiacke",2,49,11,24,0,1,3,41,1,132,271
12003,"Cumberland--Colchester/Cumberland--Colchester"," 180","Wittenburg",2,53,20,18,0,1,8,35,0,137,336
