Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Brian Everaert,Marilyn Gladu,Adam Kilner,Thomas Laird,Carmen Lemieux,Peter Robert Smith,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35091,"Sarnia--Lambton/Sarnia--Lambton"," 95","Sarnia",4,59,54,2,49,12,3,183,364
35091,"Sarnia--Lambton/Sarnia--Lambton"," 96","Sarnia",3,75,61,3,44,8,3,197,446
35091,"Sarnia--Lambton/Sarnia--Lambton"," 97","Sarnia",3,35,21,1,30,8,2,100,208
35091,"Sarnia--Lambton/Sarnia--Lambton"," 98","Sarnia",9,75,75,2,30,12,4,207,429
35091,"Sarnia--Lambton/Sarnia--Lambton"," 99","Sarnia",4,52,16,1,32,4,0,109,159
35091,"Sarnia--Lambton/Sarnia--Lambton"," 100","Sarnia",4,120,38,0,53,6,0,221,430
35091,"Sarnia--Lambton/Sarnia--Lambton"," 101","Sarnia",10,109,46,1,53,2,1,222,414
35091,"Sarnia--Lambton/Sarnia--Lambton"," 102","Sarnia",2,81,41,0,40,4,2,170,324
35091,"Sarnia--Lambton/Sarnia--Lambton"," 103","Sarnia",2,47,31,1,25,8,0,114,244
35091,"Sarnia--Lambton/Sarnia--Lambton"," 104","Sarnia",1,110,60,0,44,5,0,220,443
35091,"Sarnia--Lambton/Sarnia--Lambton"," 105","Sarnia",1,34,34,0,17,3,0,89,173
35091,"Sarnia--Lambton/Sarnia--Lambton"," 106","Sarnia",9,121,66,4,59,8,2,269,518
35091,"Sarnia--Lambton/Sarnia--Lambton"," 107","Sarnia",8,111,75,1,46,8,1,250,523
35091,"Sarnia--Lambton/Sarnia--Lambton"," 108","Sarnia",2,109,27,0,69,4,1,212,306
35091,"Sarnia--Lambton/Sarnia--Lambton"," 109","Sarnia",5,86,43,0,30,10,1,175,374
35091,"Sarnia--Lambton/Sarnia--Lambton"," 110","Sarnia",4,87,71,0,29,8,0,199,403
35091,"Sarnia--Lambton/Sarnia--Lambton"," 111","Sarnia",8,86,62,4,36,7,2,205,405
35091,"Sarnia--Lambton/Sarnia--Lambton"," 112","Sarnia",0,81,94,2,58,12,3,250,496
35091,"Sarnia--Lambton/Sarnia--Lambton"," 113","Sarnia",5,77,74,4,44,12,4,220,469
35091,"Sarnia--Lambton/Sarnia--Lambton"," 114","Sarnia",9,85,62,3,27,9,3,198,449
35091,"Sarnia--Lambton/Sarnia--Lambton"," 115","Sarnia",7,72,72,3,27,15,0,196,438
35091,"Sarnia--Lambton/Sarnia--Lambton"," 116","Sarnia",2,37,30,1,17,7,0,94,199
35091,"Sarnia--Lambton/Sarnia--Lambton"," 117","Sarnia",6,96,56,1,34,12,2,207,429
35091,"Sarnia--Lambton/Sarnia--Lambton"," 118","Sarnia",7,88,64,0,29,10,0,198,497
35091,"Sarnia--Lambton/Sarnia--Lambton"," 119","Sarnia",5,50,51,0,17,5,2,130,393
35091,"Sarnia--Lambton/Sarnia--Lambton"," 120","Sarnia",5,75,65,3,34,8,2,192,409
35091,"Sarnia--Lambton/Sarnia--Lambton"," 121","Sarnia",11,73,45,0,33,10,4,176,353
35091,"Sarnia--Lambton/Sarnia--Lambton"," 122","Sarnia",4,74,64,2,45,4,1,194,400
35091,"Sarnia--Lambton/Sarnia--Lambton"," 123","Sarnia",11,100,69,2,37,2,1,222,443
35091,"Sarnia--Lambton/Sarnia--Lambton"," 124","Sarnia",2,52,37,2,22,2,1,118,256
35091,"Sarnia--Lambton/Sarnia--Lambton"," 125","Sarnia",8,103,67,1,41,8,2,230,434
35091,"Sarnia--Lambton/Sarnia--Lambton"," 126","Sarnia",8,89,42,6,30,7,1,183,409
35091,"Sarnia--Lambton/Sarnia--Lambton"," 127","Sarnia",2,51,57,4,19,7,0,140,298
35091,"Sarnia--Lambton/Sarnia--Lambton"," 128","Sarnia",6,75,57,0,46,4,1,189,428
35091,"Sarnia--Lambton/Sarnia--Lambton"," 129","Sarnia",4,103,74,5,46,7,0,239,446
35091,"Sarnia--Lambton/Sarnia--Lambton"," 130","Sarnia",14,73,48,1,22,9,2,169,437
35091,"Sarnia--Lambton/Sarnia--Lambton"," 131","Sarnia",6,94,69,2,37,9,2,219,476
35091,"Sarnia--Lambton/Sarnia--Lambton"," 132","Sarnia",2,38,35,0,8,0,0,83,181
35091,"Sarnia--Lambton/Sarnia--Lambton"," 133","Sarnia",9,73,56,3,32,6,2,181,479
35091,"Sarnia--Lambton/Sarnia--Lambton"," 134","Sarnia",10,71,51,3,33,16,4,188,347
35091,"Sarnia--Lambton/Sarnia--Lambton"," 135","Sarnia",6,117,63,1,42,15,4,248,480
35091,"Sarnia--Lambton/Sarnia--Lambton"," 136","Sarnia",9,73,58,0,28,5,0,173,338
35091,"Sarnia--Lambton/Sarnia--Lambton"," 137","Sarnia",6,70,67,1,29,17,1,191,581
35091,"Sarnia--Lambton/Sarnia--Lambton"," 138","Sarnia",9,92,84,0,39,5,1,230,441
35091,"Sarnia--Lambton/Sarnia--Lambton"," 139","Sarnia",6,63,78,3,32,14,1,197,392
35091,"Sarnia--Lambton/Sarnia--Lambton"," 140","Sarnia",16,80,73,1,26,15,1,212,458
35091,"Sarnia--Lambton/Sarnia--Lambton"," 141","Sarnia",8,100,62,1,41,15,3,230,565
35091,"Sarnia--Lambton/Sarnia--Lambton"," 142","Sarnia",4,64,45,1,20,9,4,147,374
35091,"Sarnia--Lambton/Sarnia--Lambton"," 143","Sarnia",12,151,50,4,52,9,3,281,562
35091,"Sarnia--Lambton/Sarnia--Lambton"," 144","Sarnia",2,84,50,2,48,4,0,190,414
35091,"Sarnia--Lambton/Sarnia--Lambton"," 145","Sarnia",5,109,29,8,22,13,1,187,315
35091,"Sarnia--Lambton/Sarnia--Lambton"," 146","Sarnia",5,97,24,6,29,4,0,165,355
35091,"Sarnia--Lambton/Sarnia--Lambton"," 147","Sarnia",4,63,71,0,28,9,0,175,423
35091,"Sarnia--Lambton/Sarnia--Lambton"," 148","Sarnia",10,55,60,6,45,11,0,187,440
35091,"Sarnia--Lambton/Sarnia--Lambton"," 149","Sarnia",7,71,78,1,40,12,1,210,523
35091,"Sarnia--Lambton/Sarnia--Lambton"," 150","Sarnia",15,80,59,1,42,18,0,215,473
