Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Josh Eisses,Gudie Hutchings,Lucas Knill,Robert Miles,Holly Pike,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10005,"Long Range Mountains/Long Range Mountains"," 157","Stephenville",55,36,4,2,21,0,118,345
10005,"Long Range Mountains/Long Range Mountains"," 158","Stephenville",32,47,2,3,34,1,119,343
10005,"Long Range Mountains/Long Range Mountains"," 159","Stephenville",37,51,5,9,21,0,123,317
10005,"Long Range Mountains/Long Range Mountains"," 160","Stephenville",53,84,6,1,36,4,184,401
10005,"Long Range Mountains/Long Range Mountains"," 161","Stephenville",48,59,8,2,27,4,148,328
10005,"Long Range Mountains/Long Range Mountains"," 162","Stephenville",45,44,7,4,29,1,130,438
10005,"Long Range Mountains/Long Range Mountains"," 163","Port au Port East",82,107,10,0,47,4,250,505
10005,"Long Range Mountains/Long Range Mountains"," 164","Port au Port West",41,45,5,7,20,6,124,262
10005,"Long Range Mountains/Long Range Mountains"," 165","Port au Port West",27,42,11,4,22,3,109,236
10005,"Long Range Mountains/Long Range Mountains"," 166","St. George's",30,67,7,3,32,2,141,281
10005,"Long Range Mountains/Long Range Mountains"," 167","St. George's",37,49,3,1,27,5,122,294
10005,"Long Range Mountains/Long Range Mountains"," 168","St. George's",70,110,5,3,40,4,232,473
10005,"Long Range Mountains/Long Range Mountains"," 169","West Bay Centre",38,27,4,1,16,0,86,139
10005,"Long Range Mountains/Long Range Mountains"," 170","Piccadilly",82,70,8,5,18,1,184,401
10005,"Long Range Mountains/Long Range Mountains"," 171","St. Teresa--Flat Bay",30,71,7,2,27,1,138,202
10005,"Long Range Mountains/Long Range Mountains"," 172","Campbells Creek",12,18,3,0,4,6,43,66
10005,"Long Range Mountains/Long Range Mountains"," 173","Mainland",32,83,3,2,13,0,133,224
10005,"Long Range Mountains/Long Range Mountains"," 174","Sheaves Cove",16,19,0,0,7,0,42,63
10005,"Long Range Mountains/Long Range Mountains"," 175","Cape St. George--Red Brook--Marches Point",107,96,14,11,33,8,269,537
10005,"Long Range Mountains/Long Range Mountains"," 176","Cape St. George--Red Brook--Marches Point",28,34,4,4,6,1,77,169
10005,"Long Range Mountains/Long Range Mountains"," 177","Heatherton",61,68,7,4,41,1,182,317
10005,"Long Range Mountains/Long Range Mountains"," 178","François",3,25,2,0,8,1,39,65
10005,"Long Range Mountains/Long Range Mountains"," 179","Burgeo",9,50,1,0,8,0,68,151
10005,"Long Range Mountains/Long Range Mountains"," 180","Burgeo",17,102,4,0,21,0,144,332
