Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Élisabeth Brière,Steve Côté,Pierre-Luc Dusseault,Claude Forgues,Edwin Moreno,Mathieu Morin,Hubert Richard,Dany Sévigny,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24073,"Sherbrooke/Sherbrooke"," 116","Sherbrooke",57,3,55,52,0,7,0,10,0,184,413
24073,"Sherbrooke/Sherbrooke"," 117","Sherbrooke",43,2,78,48,1,10,0,33,5,220,439
24073,"Sherbrooke/Sherbrooke"," 118","Sherbrooke",48,0,67,47,1,13,1,23,3,203,399
24073,"Sherbrooke/Sherbrooke"," 119","Sherbrooke",57,0,73,60,0,7,0,20,0,217,454
24073,"Sherbrooke/Sherbrooke"," 120","Sherbrooke",60,0,59,64,6,10,0,18,1,218,477
24073,"Sherbrooke/Sherbrooke"," 121","Sherbrooke",70,1,45,27,0,3,0,7,0,153,373
24073,"Sherbrooke/Sherbrooke"," 122","Sherbrooke",60,1,71,57,2,11,0,11,1,214,390
24073,"Sherbrooke/Sherbrooke"," 123","Sherbrooke",76,1,59,37,1,10,0,9,0,193,385
24073,"Sherbrooke/Sherbrooke"," 124","Sherbrooke",53,1,48,30,4,10,0,20,5,171,447
24073,"Sherbrooke/Sherbrooke"," 125","Sherbrooke",52,0,38,41,1,7,1,12,1,153,410
24073,"Sherbrooke/Sherbrooke"," 126","Sherbrooke",73,1,67,66,1,13,0,18,3,242,441
24073,"Sherbrooke/Sherbrooke"," 127","Sherbrooke",67,0,48,32,2,8,1,16,4,178,453
24073,"Sherbrooke/Sherbrooke"," 128","Sherbrooke",48,1,46,33,0,16,0,8,0,152,419
24073,"Sherbrooke/Sherbrooke"," 129","Sherbrooke",27,2,39,29,2,9,1,10,5,124,429
24073,"Sherbrooke/Sherbrooke"," 130","Sherbrooke",20,0,19,40,2,8,2,10,2,103,392
24073,"Sherbrooke/Sherbrooke"," 131","Sherbrooke",16,0,61,22,4,6,2,11,1,123,404
24073,"Sherbrooke/Sherbrooke"," 132","Sherbrooke",45,3,45,34,2,4,2,17,5,157,418
24073,"Sherbrooke/Sherbrooke"," 133","Sherbrooke",41,0,70,41,2,19,0,21,5,199,500
24073,"Sherbrooke/Sherbrooke"," 134","Sherbrooke",30,1,41,19,1,12,2,12,4,122,478
24073,"Sherbrooke/Sherbrooke"," 135","Sherbrooke",43,3,58,49,3,14,0,14,2,186,405
24073,"Sherbrooke/Sherbrooke"," 136","Sherbrooke",26,1,50,31,1,13,0,9,0,131,326
24073,"Sherbrooke/Sherbrooke"," 137","Sherbrooke",34,1,72,49,1,13,1,9,1,181,408
24073,"Sherbrooke/Sherbrooke"," 138","Sherbrooke",30,1,48,44,1,13,0,9,2,148,350
24073,"Sherbrooke/Sherbrooke"," 139","Sherbrooke",33,0,68,37,1,12,0,19,1,171,417
24073,"Sherbrooke/Sherbrooke"," 140","Sherbrooke",50,4,87,50,1,5,0,9,1,207,407
24073,"Sherbrooke/Sherbrooke"," 141","Sherbrooke",52,0,43,26,12,7,0,6,6,152,407
24073,"Sherbrooke/Sherbrooke"," 142","Sherbrooke",41,0,65,31,1,15,0,20,1,174,397
24073,"Sherbrooke/Sherbrooke"," 143","Sherbrooke",41,2,44,48,1,8,1,14,5,164,390
24073,"Sherbrooke/Sherbrooke"," 144","Sherbrooke",32,1,42,32,4,5,0,15,0,131,370
24073,"Sherbrooke/Sherbrooke"," 145","Sherbrooke",41,3,43,39,2,12,1,12,5,158,374
24073,"Sherbrooke/Sherbrooke"," 146","Sherbrooke",37,1,56,44,3,11,0,15,3,170,456
24073,"Sherbrooke/Sherbrooke"," 147","Sherbrooke",48,0,45,35,3,9,0,9,4,153,463
24073,"Sherbrooke/Sherbrooke"," 148","Sherbrooke",42,2,54,56,0,2,0,13,5,174,480
24073,"Sherbrooke/Sherbrooke"," 149","Sherbrooke",33,0,42,33,0,7,0,14,1,130,419
24073,"Sherbrooke/Sherbrooke"," 150","Sherbrooke",35,0,38,35,3,4,0,18,2,135,405
24073,"Sherbrooke/Sherbrooke"," 151","Sherbrooke",59,0,30,36,0,0,0,14,2,141,444
24073,"Sherbrooke/Sherbrooke"," 152","Sherbrooke",51,0,41,35,2,3,0,10,0,142,376
24073,"Sherbrooke/Sherbrooke"," 153","Sherbrooke",65,0,37,34,0,3,0,14,1,154,421
24073,"Sherbrooke/Sherbrooke"," 154","Sherbrooke",27,1,27,72,1,9,1,12,0,150,360
24073,"Sherbrooke/Sherbrooke"," 155","Sherbrooke",85,0,46,38,1,6,0,16,2,194,435
24073,"Sherbrooke/Sherbrooke"," 156","Sherbrooke",41,1,54,64,2,5,1,8,4,180,410
24073,"Sherbrooke/Sherbrooke"," 157","Sherbrooke",36,0,36,54,1,4,0,12,0,143,426
24073,"Sherbrooke/Sherbrooke"," 158","Sherbrooke",40,1,68,35,4,13,0,15,0,176,435
24073,"Sherbrooke/Sherbrooke"," 159","Sherbrooke",34,0,53,36,4,5,0,13,0,145,426
24073,"Sherbrooke/Sherbrooke"," 160","Sherbrooke",28,0,36,34,3,11,0,11,2,125,340
24073,"Sherbrooke/Sherbrooke"," 161","Sherbrooke",82,0,39,55,2,3,0,15,3,199,385
24073,"Sherbrooke/Sherbrooke"," 162","Sherbrooke",66,1,72,69,2,13,0,28,3,254,498
24073,"Sherbrooke/Sherbrooke"," 163","Sherbrooke",71,1,84,56,1,10,0,32,2,257,485
24073,"Sherbrooke/Sherbrooke"," 164","Sherbrooke",81,2,64,44,0,10,1,23,4,229,460
24073,"Sherbrooke/Sherbrooke"," 165","Sherbrooke",90,1,78,69,1,5,0,17,1,262,467
24073,"Sherbrooke/Sherbrooke"," 166","Sherbrooke",47,0,45,50,0,3,0,22,1,168,437
24073,"Sherbrooke/Sherbrooke"," 167","Sherbrooke",44,0,29,41,2,11,1,20,4,152,381
24073,"Sherbrooke/Sherbrooke"," 168","Sherbrooke",37,2,57,22,7,9,0,13,4,151,410
24073,"Sherbrooke/Sherbrooke"," 169","Sherbrooke",32,1,56,39,4,11,2,16,1,162,443
24073,"Sherbrooke/Sherbrooke"," 170","Sherbrooke",29,2,33,28,2,10,0,11,0,115,376
24073,"Sherbrooke/Sherbrooke"," 171","Sherbrooke",33,0,52,32,2,18,1,11,4,153,450
24073,"Sherbrooke/Sherbrooke"," 172","Sherbrooke",64,2,72,49,14,16,0,25,2,244,499
