Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mario Beaulieu,Robert Coutu,Franco Fiori,Jacinthe Lafrenaye,Randy Manseau,Ève Péclet,Jonathan Plamondon,Geneviève Royer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 123B","Montréal",28,24,4,1,2,35,115,0,1,210,417
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 124","Montréal",54,15,4,0,0,18,96,0,1,188,407
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 125","Montréal",52,13,12,0,1,30,139,0,6,253,554
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 126","Montréal",70,17,3,0,3,29,60,0,3,185,372
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 127","Montréal",99,11,7,0,1,29,82,0,3,232,472
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 128","Montréal",68,20,4,1,4,21,66,0,4,188,396
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 129","Montréal",77,9,3,2,0,22,92,0,2,207,418
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 130","Montréal",63,12,6,1,0,28,105,1,2,218,403
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 131","Montréal",78,8,5,0,0,19,63,0,4,177,392
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 132","Montréal",78,10,6,1,1,15,68,0,3,182,366
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 133","Montréal",95,18,8,0,0,31,110,0,5,267,500
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 134","Montréal",62,8,5,0,1,25,75,0,5,181,391
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 135","Montréal",54,17,6,0,0,33,91,1,6,208,368
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 136","Montréal",68,3,2,0,2,29,75,0,4,183,466
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 137","Montréal",85,10,6,0,0,25,72,1,5,204,364
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 138","Montréal",93,14,2,0,3,27,56,0,5,200,461
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 139","Montréal",77,8,3,0,0,20,24,1,3,136,356
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 140","Montréal",49,19,9,0,0,15,71,0,3,166,354
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 141","Montréal",90,19,13,0,2,34,63,0,6,227,465
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 142","Montréal",106,13,5,1,1,31,73,0,3,233,428
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 143","Montréal",67,10,9,1,1,27,53,0,2,170,385
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 144","Montréal",63,16,3,1,0,26,79,0,7,195,391
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 145","Montréal",62,4,9,0,1,24,45,1,5,151,394
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 146","Montréal",73,7,8,0,0,27,76,0,3,194,420
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 147","Montréal",67,12,8,1,0,14,81,0,11,194,395
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 148","Montréal",43,4,7,1,1,12,35,0,1,104,325
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 149","Montréal",73,5,12,0,3,25,40,0,2,160,397
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 150","Montréal",90,10,4,0,2,20,50,0,5,181,378
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 151","Montréal",86,7,8,0,1,25,57,0,2,186,415
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 152","Montréal",58,3,11,0,0,17,44,0,7,140,367
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 153","Montréal",116,9,7,3,2,23,35,0,7,202,434
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 154","Montréal",65,6,11,0,0,16,62,0,3,163,334
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 155","Montréal",103,8,11,0,5,24,69,0,7,227,395
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 156","Montréal",81,5,9,2,2,29,45,0,1,174,409
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 157A","Montréal",95,11,5,2,2,22,37,0,4,178,348
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 157B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°505,,,,,,,,,,60
