Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jane Davidson,Harinderpal Hundal,Navjit Kaur,Kamal Khera,Anjum Malik,Roger Sampson,Paul Tannahill,Murarilal Thapliyal,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35012,"Brampton West/Brampton-Ouest"," 112","Brampton",4,0,25,116,0,1,1,55,2,204,472
35012,"Brampton West/Brampton-Ouest"," 113","Brampton",2,0,38,114,0,0,0,48,6,208,503
35012,"Brampton West/Brampton-Ouest"," 114","Brampton",6,1,41,115,0,3,1,50,2,219,556
35012,"Brampton West/Brampton-Ouest"," 115","Brampton",3,0,42,130,0,0,0,67,1,243,615
35012,"Brampton West/Brampton-Ouest"," 116","Brampton",3,1,24,105,0,1,0,55,3,192,530
35012,"Brampton West/Brampton-Ouest"," 117A","Brampton",8,0,43,100,0,5,0,43,1,200,538
35012,"Brampton West/Brampton-Ouest"," 117B","Brampton",5,1,45,97,0,3,2,44,0,197,505
35012,"Brampton West/Brampton-Ouest"," 118","Brampton",4,1,36,100,0,4,1,39,0,185,642
35012,"Brampton West/Brampton-Ouest"," 119","Brampton",3,1,41,104,0,3,2,40,2,196,548
35012,"Brampton West/Brampton-Ouest"," 120","Brampton",2,0,56,118,1,3,1,50,4,235,554
35012,"Brampton West/Brampton-Ouest"," 121","Brampton",10,0,28,140,0,1,2,59,6,246,478
35012,"Brampton West/Brampton-Ouest"," 122","Brampton",6,0,32,94,0,2,2,44,5,185,471
35012,"Brampton West/Brampton-Ouest"," 123","Brampton",7,0,39,115,0,10,2,54,6,233,473
35012,"Brampton West/Brampton-Ouest"," 124","Brampton",8,0,41,127,0,5,4,48,3,236,476
35012,"Brampton West/Brampton-Ouest"," 125","Brampton",13,0,41,147,0,3,4,59,1,268,528
35012,"Brampton West/Brampton-Ouest"," 126","Brampton",12,2,15,102,1,5,1,70,0,208,458
35012,"Brampton West/Brampton-Ouest"," 127","Brampton",7,0,33,90,0,4,2,59,1,196,479
35012,"Brampton West/Brampton-Ouest"," 128","Brampton",6,0,42,94,0,5,3,47,1,198,516
35012,"Brampton West/Brampton-Ouest"," 129","Brampton",3,1,34,110,0,2,0,42,0,192,520
35012,"Brampton West/Brampton-Ouest"," 130","Brampton",5,0,27,118,0,1,2,48,0,201,543
35012,"Brampton West/Brampton-Ouest"," 131","Brampton",14,0,43,115,0,3,3,40,1,219,485
35012,"Brampton West/Brampton-Ouest"," 132","Brampton",5,0,44,131,0,6,0,46,1,233,539
35012,"Brampton West/Brampton-Ouest"," 133","Brampton",2,1,46,127,0,2,4,71,4,257,526
35012,"Brampton West/Brampton-Ouest"," 134","Brampton",7,1,34,129,0,2,5,56,1,235,478
35012,"Brampton West/Brampton-Ouest"," 135","Brampton",2,4,46,102,2,2,1,37,2,198,446
35012,"Brampton West/Brampton-Ouest"," 136","Brampton",6,0,64,147,0,3,0,46,2,268,500
35012,"Brampton West/Brampton-Ouest"," 137","Brampton",2,0,18,104,0,0,0,26,0,150,465
35012,"Brampton West/Brampton-Ouest"," 138","Brampton",3,0,30,107,0,1,1,36,0,178,442
35012,"Brampton West/Brampton-Ouest"," 139","Brampton",1,0,41,91,0,1,1,23,0,158,569
