Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Chani Aryeh-Bain,Reuben DeBoer,Marco Mendicino,Alexandra Nash,Michael Staffieri,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 106","Toronto",59,11,98,14,0,0,182,423
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 107","Toronto",54,11,100,16,0,3,184,409
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 108","Toronto",75,6,100,4,3,2,190,514
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 109","Toronto",44,9,87,13,2,0,155,315
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 110","North York",39,13,105,23,0,3,183,529
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 111","North York",35,5,76,9,2,0,127,422
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 112","North York",44,4,82,10,6,0,146,424
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 113","North York",45,1,67,12,4,4,133,427
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 114","North York",46,5,32,8,0,0,91,459
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 115","North York",57,6,99,29,1,3,195,413
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 116","North York",60,17,112,11,1,2,203,448
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 117","North York",51,1,99,13,3,0,167,390
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 118","North York",54,6,92,17,0,0,169,380
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 119","North York",42,6,119,27,7,2,203,393
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 120","Toronto",47,4,108,12,0,1,172,417
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 121","Toronto",51,6,86,13,0,1,157,391
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 122","Toronto",54,8,131,27,5,2,227,469
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 123","Toronto",89,9,132,24,0,1,255,483
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 124","Toronto",45,12,154,50,6,3,270,521
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 125","Toronto",49,10,142,19,5,8,233,420
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 126","North York",64,7,146,23,4,6,250,548
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 127","North York",42,5,96,12,3,0,158,399
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 128","North York",62,5,25,4,1,0,97,416
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 129","Toronto",48,9,72,3,0,4,136,413
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 130","Toronto",32,9,116,25,5,0,187,461
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 131","Toronto",70,5,90,9,3,0,177,484
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 132","Toronto",91,5,76,9,0,1,182,477
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 133","Toronto",71,6,65,9,2,1,154,459
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 134","Toronto",60,9,74,12,0,5,160,415
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 135","Toronto",53,4,96,24,2,0,179,387
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 136","Toronto",87,9,82,10,4,1,193,443
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 137","Toronto",40,16,84,16,1,0,157,367
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 138","Toronto",42,4,78,23,3,0,150,396
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 139","Toronto",41,2,111,28,2,1,185,385
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 140","Toronto",47,7,119,32,4,0,209,490
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 141","Toronto",65,9,120,26,1,1,222,509
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 142","Toronto",52,6,126,19,7,2,212,428
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 143","North York",57,9,118,34,3,1,222,447
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 144","North York",67,4,138,21,2,2,234,455
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 145","York",64,14,117,46,2,0,243,594
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 146","North York",32,4,71,9,1,7,124,349
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 147","North York",52,4,119,25,5,3,208,450
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 148","North York",50,4,121,21,4,0,200,477
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 149","Toronto",82,11,184,48,13,9,347,606
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 150","York",56,12,145,33,2,2,250,507
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 151","York",71,9,133,57,2,1,273,494
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 152","York",32,5,101,32,4,0,174,481
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 153","York",40,13,118,31,3,1,206,453
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 154","North York",37,9,165,25,4,0,240,560
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 155","North York",62,11,208,33,3,0,317,607
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 156","York",66,7,203,45,4,5,330,644
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 157","York",32,4,146,44,4,3,233,445
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 158","York",47,7,122,33,0,3,212,463
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 159","York",29,3,110,27,3,5,177,431
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 160","York",34,5,83,33,3,1,159,469
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 161","York",54,3,117,23,3,1,201,478
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 162","York",32,10,117,36,1,1,197,527
