Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Brian Dias,Todd McCarthy,Mirko Pejic,Paul Slavchenko,Ryan Turnbull,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35114,"Whitby/Whitby"," 145","Whitby",36,59,3,7,97,0,202,327
35114,"Whitby/Whitby"," 146","Whitby",37,58,2,12,94,0,203,378
35114,"Whitby/Whitby"," 147","Whitby",40,58,3,16,75,0,192,339
35114,"Whitby/Whitby"," 148","Whitby",58,61,6,33,118,0,276,588
35114,"Whitby/Whitby"," 149","Whitby",20,148,3,13,77,8,269,310
35114,"Whitby/Whitby"," 150","Whitby",30,76,1,8,95,1,211,396
35114,"Whitby/Whitby"," 151","Whitby",26,60,3,9,95,3,196,411
35114,"Whitby/Whitby"," 152","Whitby",29,71,2,10,51,0,163,330
35114,"Whitby/Whitby"," 153","Whitby",28,68,2,22,81,1,202,362
35114,"Whitby/Whitby"," 154","Whitby",44,81,6,22,167,0,320,685
35114,"Whitby/Whitby"," 155","Whitby",53,82,2,20,93,0,250,489
35114,"Whitby/Whitby"," 156","Whitby",46,97,4,17,170,0,334,641
35114,"Whitby/Whitby"," 157","Whitby",43,51,7,19,73,0,193,369
35114,"Whitby/Whitby"," 158","Whitby",43,63,2,9,74,1,192,399
35114,"Whitby/Whitby"," 159","Whitby",46,81,8,12,141,1,289,471
35114,"Whitby/Whitby"," 160","Whitby",42,84,2,17,111,0,256,450
35114,"Whitby/Whitby"," 161","Whitby",31,57,3,6,125,0,222,399
35114,"Whitby/Whitby"," 162","Whitby",36,53,2,12,102,1,206,359
35114,"Whitby/Whitby"," 163","Whitby",40,70,4,5,169,0,288,574
35114,"Whitby/Whitby"," 164","Whitby",36,47,8,7,76,0,174,371
35114,"Whitby/Whitby"," 165","Whitby",43,78,4,20,93,1,239,412
35114,"Whitby/Whitby"," 166","Whitby",31,63,9,14,73,1,191,373
35114,"Whitby/Whitby"," 167","Whitby",34,36,4,14,78,1,167,389
35114,"Whitby/Whitby"," 168","Whitby",37,76,0,10,62,2,187,422
35114,"Whitby/Whitby"," 169","Whitby",41,49,3,10,68,0,171,366
35114,"Whitby/Whitby"," 170","Whitby",31,61,2,18,91,1,204,403
35114,"Whitby/Whitby"," 171","Whitby",42,106,9,21,116,1,295,524
35114,"Whitby/Whitby"," 172","Whitby",25,105,3,15,106,2,256,487
35114,"Whitby/Whitby"," 173","Whitby",40,113,3,17,106,1,280,502
