Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Anna Di Carlo,Peter Fonseca,Wladyslaw Lizon,Maha Rasheed,Syed Rizvi,Tom Takacs,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 420","Mississauga",Merged with No./Fusionné avec le n°421,,,,,,,,138
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 421","Mississauga",1,83,49,3,3,16,2,157,179
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 500","Mobile poll/Bureau itinérant",0,56,21,4,2,5,0,88,133
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 501","Mobile poll/Bureau itinérant",3,34,14,1,0,1,0,53,102
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 502","Mobile poll/Bureau itinérant",5,30,16,2,0,4,3,60,24
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 503","Mobile poll/Bureau itinérant",4,35,24,4,2,7,5,81,176
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 504","Mobile poll/Bureau itinérant",2,34,16,5,1,3,1,62,120
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 600","Mississauga",4,457,355,36,9,70,6,937,
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 601","Mississauga",5,535,164,19,13,73,11,820,
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 602","Mississauga",1,515,322,22,9,45,6,920,
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 603","Mississauga",0,452,285,30,10,30,3,810,
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 604","Mississauga",0,388,265,29,12,47,7,748,
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 605","Mississauga",2,442,261,16,9,48,4,782,
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 606","Mississauga",3,391,220,24,9,59,13,719,
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 607","Mississauga",0,253,257,20,9,20,5,564,
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 608","Mississauga",1,487,365,29,6,57,2,947,
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 609","Mississauga",1,414,182,15,3,58,3,676,
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 610","Mississauga",1,244,181,28,4,32,7,497,
