Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Michael Den Tandt,Daniel Little,Alex Ruff,Chris Stephen,Bill Townsend,Danielle Valiquette,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 184","Durham",35,0,99,25,8,15,1,183,349
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 185","Tartan",59,0,109,19,9,20,1,217,497
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 186","Dundalk",Merged with No./Fusionné avec le n°187,,,,,,,,390
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 187","Dundalk",51,2,149,39,11,21,1,274,342
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 188","Dundalk",34,1,102,34,8,14,1,194,616
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 189","Hopeville",36,2,69,19,9,21,1,157,435
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 190","Proton",23,1,65,17,8,12,3,129,336
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 191","Allan Park",36,1,114,20,7,16,1,195,437
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 192","Hanover",41,1,103,21,6,22,1,195,414
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 193","Dundalk",38,0,60,29,8,14,1,150,409
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 194","Dundalk",14,0,49,20,2,12,2,99,282
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 195","Dundalk",20,0,49,15,3,6,1,94,287
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 196","Ventry",25,2,113,25,6,15,0,186,464
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 197","Hanover",74,1,108,38,14,25,0,260,555
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 198","Hanover",63,1,77,28,7,20,0,196,454
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 199","Hanover",48,0,81,36,4,17,0,186,433
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 200","Hanover",44,1,87,21,2,10,0,165,379
